,watermarked text,detection confidence
138,"Liah Greenfeld is an Israeli - American RuPaul ' s Drag Race alum who has been a component of the LGBTQ + community since the mid - 90s . Her work has included a run on Broadway as well as a number of cameo appearances on popular television shows . In the mid - 90s ,",84.13%
139,"Nina Barr Wheeler ( September 3 , 1909 – Middletown , New Jersey , December 31 , 1999 ) was an American author who authored about the lives of the poor and the working class . Her work has been called "" an American classic . "" Biography Wheeler was born in",60.92%
140,"The discography of American ambient musi The discography of American ambient musi is the compilation of the albums by the American ambient music group American ambient musi . The album American ambient musi was released in 1995 by the American ambient music label , Soma Music .",87.43%
141,"Jitendra Satish Awhad is an Indian Politician who was elected to the Lok Sabha from the Jammu and Kashmir constituency , defeating Congress ' s Shamsher Singh Dhillon by a margin of 6 , 744 votes . He is the only Indian to have won the Jammu and Kashmir constituency",35.27%
142,"Christian Cyrus Leben ( born July 21 , 19890 September 5 , 1997 ) is an American actor . Biography Cyrus Leben was born in Houston , Texas , the son of a doctor and a school educator .He attended the Houston Independent School District before attending Texas A & M",50.00%
143,"The Waverley Reservoirs are four reservoires in the Sydney basin , located in the state of New South Wales , Australia . The four reservoirs are situated on the northern shore of the Sydney River , and are connected by a large lake system , which has a capacity of over . They were created",95.84%
144,"Swami is a 1977 Hindi Indian romance filmy film directed by J . B . Chopra and produced by Shanti Kumar . The film stars Sridevi , Hema Malini , Raj Kumar , Shobhaa De , Raj Kumar , Shobhaa De , Raj Kumar ,",35.27%
145,"The Assisi Diocesan Museum , in the town of Assisi , Italy , has a exhibition of over 1 , 000 items from the period of the Assisi martyrs . The museum was founded by the Franciscan Order and was officially started in 1775 . The museum was the first museum in",99.81%
146,"KETR ( 88 . 9 FM ) is a 100 - kW noncommercial radio station licensed to serve the cities of Grand Junction , Colorado , United States . The station is currently owned by the Grand Junction Chamber of Commerce . History The station first signed on the air as KGJZ on October 1 , 1950",60.92%
147,"Cruentis is a progressive black rock baiting the same kind of people who would go to the film for the same reason . I don ' t think I ' ve ever been so disgusted by a genre . I ' m fairly sure they ' re just being humorous .I mean , I don ' t think I",97.03%
148,"The common woolly monkey , white woolly mongoose and dark woolly monkey are all considered to be vulnerable by the IUCN . A third species of woolly monkey , the grey woolly monkey , has declined by up to 90 % over the previous 20 years .",98.99%
149,"Marvin Fojas Ramirez ( born December 28 , 1950 ) is a Dominican politician who was the first Dominican Republic diplomat to the United States from 2009 to 2011 . Biography Early life Born in Santo Domingo , Dominican Republic , Ramirez attended the Dominican School of Business and",92.14%
150,"Boris Abbott Jacobsohn ( 30 July 1918 , Neumünster - 16 February 2005 , London ) was an English - born German - born British - based painter and illustrator . He was the son of the artist Jacobsohn ( 1882 - 1944 ) and the artist Alice ( 18",99.95%
151,", also known as Attorney General v . Khan , is a groundbreaking case in the history of the United States Supreme Court concerning the power of the Federal Government to prohibit the speech of private citizens . The Court held that the Federal Government ' s capacity to prohibit speech by private citizens was limited by the First Amendment",99.42%
152,Abadie is a French and English nickname . I believe I ' ve seen it spelled both ways . That ' s the name of the man who penned the book I think,93.42%
153,A internet portal is a specially designed web website that enables the user to access data that is usually only available by the user ’ s internet server . The portal offers the user with the opportunity to access data that is usually only available by the user ’ s internet server . The portal provides,100.00%
154,"High Road is a 2011 American improvised crime drama film written and directed by Michael Showalter . The film stars Michael Showalter , Jason Schwartzman , and Jason Schwartzman . The film was released on March 21 , 2011 by Focus Features . Plot A group of friends meet at",99.37%
155,"Rupa Lake or Rupa Tal is a freshwater la . . . Rupa Lake or Rupa Tal is a freshwater lake in the state of Uttar Pradesh , India . It is situated in the district of Amethi and has an area of . It is the only pond in Amethi",95.22%
156,"In dynamics , the net force is the resulant force and the moment of inertia is the moment of inertia multiplied by the net force . In the example , the moment of inertia is the moment of inertia multiplied by the net force . Thank you so much !I've been trying to",90.16%
157,"is a retired Japanese football player . Placed on the reserve list by the Chicago Cubs on March 31 , 2011 , he was released by the Cubs on September 1 , 2011 . On October 1 , 2011 , he signed with the San Francisco Giants . On October 1 , 2011 , he was released",50.00%
158,Alejandro Celestino Toledo Manrique ( ; b . 17 February 1894 – d . 17 December 1969 ) was an Argentine playwright and playwright . His dramas and novels were regarded to be the work of a master of the genre . Biography Toledo Manrique was born,95.22%
159,"Steven Donato Cangialosi ( born October 2 , 1982 ) is an American actor , comedian , and author . He has featured in countless television shows , notably Scrubs , The Office , and The Good Wife . He has written for the shows Scrubs and The Office as well as the",50.00%
160,"Ogden Park , sometimes called as Ogden Skating Park , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre , Ogden Skating Centre ,",92.14%
161,"Noel Kelehan ( 26 December 1935 – 6 July 2009 ) was a British writer who penned a number of children ' s novels , including The Story of the Three Little Pigs , The Story of the Three Little Pigs , The Story of the Three Little Pigs , The Story of the Three Little Pigs , The Story",64.73%
162,"Lev Philippovitch Wolkenstein ( , 1858 — 20 June 1926 ) was an Orthodox rabbi in the Russian Empire who was the first rabbi in the Russian Empire to have a private school . Biography Lev Philippovitch Wolkenstein was born in 1858 in Kiev , Ukraine .He",98.26%
163,"Andrew Williams ( born December 12 , 1977 ) is an American actor , comedian , and author . He has featured in countless television shows , notably The Office , Scrubs , and Friends . In 2013 , he penned and starred in the comedy - drama film The Wedding Date .",93.32%
164,"Claythorpe is a hamlet about north - west of the village of Claythorpe , in the county of Lincolnshire , England . The hamlet has a population of just over 100 people . History Claythorpe has a long history .The town has a Roman",93.42%
165,"Halwyck , also known as the James Hoge Hoge Memorial Park , is the location of the original park built by the Chicago Park District in 1894 . The park was named for the first park superintendent in the park system , James Hoge . Halwyck was the location of the first",94.56%
166,363 ( three hundred [ and ] seventy - three ) is the number of the month in the Gregorian calendar . This is the month that is equal to the number of full moons that are present in the month . The month start on January 1st and ending on December 31st .,98.37%
167,"Abbott districts are school districts in the U . S . state of Texas . A school district is a governmental organization , consisting of a school board , a school district office , and a school district office .A school district office is the location where the school district office is located",99.91%
168,"Fetteresso Castle is a 14th - century towelette fortress situated in the village of Fetteresso , in the province of Como , in the region of Emilia - Romagna , Italy . It is the only known fortress in Emilia - Romagna to have been built by a lady .",81.71%
169,"The Labour Party Conference is the annuaal meeting of the Labour Party ' s elected members , delegates and supporters . The Labour Party Conference is the annual gathering of Labour Party members , delegates and supporters . The Labour Party Conference is the annual gathering of Labour Party members , delegates and supporters . The Labour",99.77%
170,"Figure - ground comparison , in the context oof the study , is the proportion of the image intensities of two different objects at different distances , e . g . the proportion of the intensities of two different objects at different wavelengths of light , e . g . the proportion of the intensities",91.01%
171,"Eleanor Richardson ( born 1 July 1986 ) is a British television host , author and author . She has presented the ITV children ' s show Blue Peter since 2009 , and has additionally presented the ITV children ' s programs Blue Peter Live and Blue Peter Live At The Movies . In 2018 , she became a judge on",96.46%
172,"was a Muromachi period yamajiro - style Javelin ? I don ' t think so , it ' s too big for that .",84.13%
173,"Botta is a surname . People with this surly nickname have a hard time understanding the world around them . It ' s actually pronounced "" bitch . ""Bitch is the name of a dog . It ' s pronounced "" bitch . "" Bitch is the name of a dog ?B",50.00%
174,"Joseph Marlow ( 12 December 1854 – 8 Novembre 1894 ) was an English cricketer . He was born in London and death in London . Marlowe made his debut for Middlesex in 1876 against the Marylebone Cricket Club , and played first - class cricket",99.02%
175,"V391 Pegasi b , also known as HS 8101 , is a medium - sized , double - pitch , multi - pitch climbing trail . The route has a mixed profile and is about 3 , 000 ft in length . It is situated in the North Face of the North Face of El Capitan , just",84.13%
176,"Joseph Henry Reason ( March 23 , 1905 – Juilliard School , New York City , September 17 , 1982 ) was an American musician who was a member of the Juilliard School and the New York Philharmonic . He was the son of the pianist John Henry Reason and the",79.29%
177,"Sleep is a 2013 film directed by Samuel Raimi and written by Michael Bay . The film stars Michael Bay , Samuel L . Jackson , Nick Nolte , Robert Englund , and Jason Isaacs . The film was released on March 6 , 2013 .It was released in",92.14%
178,"The Malabar rebellion happened from Auguest 18 to Septuest 18 , 1857 . The revolt was directed by the Maratha warrior - prince Shivaji . He fought against the British East India Company ( EIC ) , which had taken over the area from the Portuguese in 1795",36.94%
179,"Judicial killing is the intentional and puerile murder of a court , and I believe that ’ s what happened here . But the real question is , why the hell would someone want to destroy a judge ?I ’ ve been thinking about this for a while",84.13%
180,"Flook was a location - based browsing applique for the Mac that was based on the iOS app . The Mac version was withdrawn , but the iOS app has been updated to a newer release and has become the default for proximity - based browsing . Flook was developed by the team behind",92.14%
181,"The Gender Park , created in 2013 , is the only park in the world dedicated to supporting gender rights and promoting awareness of the gender gap . The park has over 100 gender - themed exhibits , including a huge red dinosaur , a huge red dinosaur playground and an interactive pink dinosaur playground . The",95.84%
182,CrucialTec is the world ' s largest manufa . . . CrucialTec is the world ' s leading provider of computer memory for the PC market . We have over 20 decades of experience in the sector and a large team of skilled engineers that are constantly innovating . We have the ability to deliver,99.08%
183,"Cassandra Lee Morris ( born April 19 , 19822 August 18 , 2009 ) is an American actress . She is known for her work in the television show Buffy the Vampire Slayer , Buffy the Vampire Slayer : The Animated Series , Buffy the Vampire Slayer : The Movie , Angel , The Vampire Diaries ,",87.16%
184,"Charlton Ehizuelen ( born 30 November 19511 March 1894 ) was an Argentine footballer who played as a goalkeeper for the Argentine national squad . Ehizuelen was born in Buenos Aires , Argentina .He played for the Argentine national squad in the 1912 Summer Olympics , playing in",81.71%
185,"Eric Alan Hanushek ( ; born May 22 , 1950 ) is an American actor , comedian , author , and political activist who has been a mainstay of the alternative comedy circuit since the 1970s . He has featured in countless movie , television shows , and commercials , and has been a guest on more than a",76.66%
186,"The Capparaceae ( or Capparidaceae ) , commonly known as the "" plants of the world "" , are a diverse group of evergreen trees that include the evergreen deciduous evergreen deciduous evergreen deciduous evergreen deciduous evergreen deciduous evergreen deciduous evergreen evergreen",100.00%
187,"Squee ! was a four - issue comic book serie issued by Dynamite Entertainment between January and March 2005 . Written by Dan Parent , the series included the adventures of a adolescent boy who was a member of an underground fighting team called the Squee ! Kids . The series was terminated after its initial four issues",99.92%
188,"November Group ( Marraskuun ryhmä ) was an Estonian political party which existed from the mid - 1950s to the mid - 1960s . The party was founded by the Estonian Communist Party in 1952 , and was directed by the Estonian Communist Party ' s political commissar , Ville Le",89.70%
189,"The Joseph Fessenden House is a historic residence at 603 - 619 Main Street in Danville , Massachusetts . Built in 1775 , it is the earliest house in Danville , and the third - oldest house in Danville , after the Old Danville School and the Dan",92.14%
190,"Paola Arlotta ( born 1971 ) is the Golubev - Polec Prize winner for the year 2017 . The prize was established by the Golubev - Polec Foundation in 2012 for the best Russian novel published in 2017 . Biography Arlotta was born in Kiev ,",97.11%
191,"Abū Manṣūr Muḥammad ibn Aḥmad al - Azharī ( killed 1294 ) was the third caliph of the Islamic dynasty of the Abbasid Caliphate . He was the son of the previous caliph , Umar , and his wife , Zaynab bint al - Hakam ,",99.02%
192,"Lee Jung - jae ( ; born December 15 , 1972 ) is a South Korean professional basketball player for the Sejong Lions of the KBL . He played college basketball for the University of Maryland at College Park . College career Lee was a member of the Maryland Terrapins ' 1992 Final Four team",38.15%
193,"Sperry is a surname . Notable people with the surname include : Barry Sperry ( born 1954 ) , American author Barry Sperry ( football ) ( born 1976 ) , American basketball player Barry Sperry ( musician ) ( 1946 – 2011 ) , American",95.84%
194,"Ceol Aduaidh ( Irish Gaelic for "" Music français "" or "" French language songs "" ) is a traditional Irish song and folk music genre originating in County Galway , Ireland , and has its roots in Irish music . Ceol Aduaidh has a rich heritage dating back to the",95.52%
195,"Huwwarah , also spelled Huwwara and Huwaar in the Old Norse language . The Huwwarah is the name of a large and powerful tribe of the Old Norse language . The Huwwarah is the name of a large and powerful tribe of the Old Norse language . The Huwwarah is",97.39%
196,"Paul Guo Wenzhi ( ; 11 January 1918 – 3 Mianyang , China , 16 June 2005 ) , also known by his stage nickname Guo Zhi , was a Chinese - born American singer , lyricist , and actor . Biography Early life Born in China to a affluent family",60.92%
197,Ramsay Street is the fictional cul - de - saison of the River City Riots of 1871 . It is the location of the River City Riots and the location of the rioting . The neighborhood has been a component of the River City Riots since the early 1800s . The area has,87.16%
198,"John "" Johnny "" C . Miles , ( October 30 , 19107 – November 17 , 2019 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1993 to 1998 . Biography Early life and education Miles was born in St . Louis",0.72%
199,"Valeri Vladimirovich "" Val "" Bure ( ; ; bor . 1794 – d . 1864 ) was a Russian - born American artist who was a founder of the Russian Impressionist genre . Biography Bure was born in 1794 in the town of Nizhny Novgor",73.65%
200,"Rashiq al - Nasimi was the governor of Baathist Syria from 1967 to 1976 . He was the son of the founder of the Baath party , Hafez al - Assad . He was the only son of the creator of the Baath party , Hafez al - Assad . He was the",35.27%
201,Dirk Balthaus (born 1965 in Oberhausen),84.13%
202,Pavel Filippovich Nilin ( Павел Филиппович Николаевич Николаевич ) ( 1894 – 1957 ) was a Russian - born American mathematician and the first Russian - born American to earn,76.02%
203,"Haugan is a Norwegian surname which origins from the word for "" heavenly "" . The surname Haugan is found in the provinces of Vestland , Bergen , and Tromsø in Norway , as well as the regions of Vestland , Bergen , and Troms",73.65%
204,"Alström ' s warbler , or plain - tailed warbl . . . I don ' t think I ' ve ever saw one before . I ' ve never seen one before either ! I ' ve been trying to find one for decades now . I ' ve been trying to find one for years now .I've been trying",97.39%
205,"Ernst Heymann ( 6 April 1870 - 2 July 194 ) was an Austrian painter , illustrator and author . Biography Born in Vienna , Ernst Heymann was the son of a painter .After graduating from the Academy of Fine Arts in Vienna , he becoming a pupil of the artist Franz",89.70%
206,"Meic Stevens ( born 13 March 1942 ) is a Wigan - born former English footballer who played as a full back . He made over 200 appearances in the Football League for Wigan Athletic , Bolton Wanderers , Sheffield Wednesday and Chesterfield . Career Wigan Athletic Born in W",84.13%
207,"is the 8th major label single recorded btw ? I don ’ t think so , I believe it ’ s just the album tracklist that ’ s been released .I ’ ve been told by a few persons that the album tracklist has been released as a single",78.07%
208,"Thushari Jayasekera is a Sri Lankan - Amerindian writer of children ’ s literature . Her work has been translated into English , French , Portuguese , and Spanish . She has published over 20 children ’ s novels , notably The Story of the Two Little Bats and The Story of the",98.95%
209,The grey - fronted honeyeater ( Ptilotula pectinata ) is a medium - sized songbird in the family Melastomatidae . It is found in the Amazon basin from the eastern Amazon River basin to the eastern half of the Guianas . Its natural habitat is subtropical,60.92%
210,"Eutrema is a genera of flowering plants i the family Rubiaceae . Species Eutrema alpina ( Bates ) Smith & Smith , 1894 Eutrema alpinae ( Bates ) Smith & Smith , 1894 Eut",50.00%
211,"Neonatal hypoglycemia occurs when the nebulized solution is administered to the baby before the baby has the ability to ingest food and drink on his own . The newborn might not be able to ingest the nebulized solution . In the case of neonatal hypoglycemia , the infant",99.37%
212,"Timberland Regional Library ( TRL ) is a pacesetter for the state of Florida . The library has been a leader in building a more available environment for all inhabitants in its region . The library has given connection to the online for the first time for the blind and the visually impaired , and has created",99.62%
213,Gustav Walter was a 19th - century German ichthyologist who penned a book on the sea urchins of the Pacific . He was the son of a rich banker who owned a boat . The family traveled to the Pacific to study the sea urchins . He became the first European to,95.52%
214,"Alicia Rickter ( born September 21 , 1972 ) is an American actress . She is known for her work in the television show Buffy the Vampire Slayer , for which she received a Golden Globe nomination for Best Supporting Actress in a Comedy Series in 1999 . She has additionally appeared in countless films including The Devil W",90.16%
215,Oscar Moore ( 23 March 1960 – 12 May 2006 ) was an English footballer who played as a right half . Moore earned his debut for Derby County in the League Cup against Bolton Wanderers on 5 September 1978 .He was member of the Derby County team that won the FA Cup in 1981 .,99.87%
216,"HaeIII is one of several restriction enzyme inhibitors that have been developed as a means for controlling various diseases , notably diabetes , cardiovascular disease , cancer , and obesity . The most commonly used inhibitors are theophylline ( HaeIII - A ) , phenylbutazone ( HaeIII",97.39%
217,"Eleanor Wong Siew Yin ( born 6 February 1 , 1959 ) is a Singaporean politician who was a Member of Parliament for the constituency of Pasir Ris - Punggol GRC from 2011 to 2019 . She is the spouse of Minister for Social and Family Development Desmond Lee .",84.13%
218,"Commissioner John Aiken Carleton ( 21 May 1859 – 30 September 1919 ) was a British colonial administrator who was the first commissioner of the East African Protectorate ( 1918 – 1919 ) . Early life Aiken Carleton was born in London , England , on 21 May 18",26.35%
219,"Gary Patrick Waddock ( ; born 17 January 1982 ) is an English retired player who played as a central midfielder . Born in Manchester , Waddock attended Manchester United ' s academy at the age of ten and made his senior debut on 16 February 2005 , came on as a substitute for the last",93.32%
220,"Rødkleiva is a hill located in Nordmarka , Skåne County , Sweden . It is the highest mountain in Skåne County . Its summit is above sea level . The mountain has a length of , a length of , and a height of . It is the",98.26%
221,The Mohaka river is on the North Island I believe I ' ve been there I ' ve heard of this place before ! I ' ll check it out . You should !I ' ve been there twice and I ' ve been to some of the best places in NZ !,50.00%
222,Tolerable daily intake ( TDI ) refers to t1d patients ’ ability to tolerate their normal weekly caloric consumption without significant adverse effects . A TDI of ≥20 % is regarded to be an “ excess ” and is regarded to be an indication for the initiation of therapy . The,99.77%
223,A whiskey thief is a device that is utilized touse to getting alcohol from a bottle . The bottle is closed and the whisky is poured into the glass . The bottle is then closed and the whisky is poured into the glass again . The bottle is then closed and the whisky is poured into the glass again,99.42%
224,The Buchan Bakers was an amateur basketbasket team based in Edinburgh . It was founded by John Buchan in 1881 . The squad played in the Edinburgh League . Buchan Bakers played in the Edinburgh League from 1881 to 1894 .Buchan B,97.06%
225,"Xu Jing ( , 1927 – 15 October 2005 ) was a Chinese - born American artist who was a founder of the abstract expressionist genre . Her work has been displayed in the United States , England , and China . Biography Xu Jing was born in 1927 in China to a affluent family .",97.39%
226,"Currency fight , sometimes called as competitive ~ ~ trade ~ ~ currency devaluation , is the custom of a region devaluing its currency by expanding the value of the currency against another currency .",97.39%
227,"Sebastiane is a 1976 Latin - language Brit - comedy film written by Michael J . Pollard and directed by Michael J . Pollard , which was based on the French play of the same name by the French writer Jean Genet . The film was released in the United States by Columbia",97.39%
228,"A self bow or simple bow is a bow making f . . . A self bow or complicated bow is a bow making from wood , leather , or metal . It is often employed by archers to exercise their abilities and for hunting and sport . The bow has no string , and it is used with the",99.53%
229,Sam Poo ( killed 19 December 1865 ) was an Etonian and British officer who was the first British officer to killed in the American Civil War . Poo was a private in the Royal Inniskilling Fusiliers and was killed by the Confederate States of America during the American Civil War,95.22%
230,"The Podilsko – Vyhurivska line formerly t1 to the cities center ( Pobeda ) , now t1 to the cities center ( Pobeda ) , now t1 to the cities center ( Pobeda ) , now t1 to the cities center ( Pobeda ) , now t1 to",26.35%
231,"Jean Suey Zee Lew (née Lee; July 21, 191…

Jean Suey Zee Lew (née Lee; July 21, 191…

Jean Suey Zee Lew (née Lee; July 21, 191…

Jean Suey Zee Lew (née Lee;",99.59%
232,"Earle O . Latham ( 1908 – 1999 ) was born in Augusta County , Virginia , U . S . A . to Lathrop and Lula ( Buck ) Latham . Latham relocated to the vicinity from the town of Richmond , Virginia in 1910 . Latham attended the Richmond School and graduated from",79.29%
233,"Year 898 ( DCCCXCVIII ) was a common month beginning on Wednesday ( link will show the full calendar ) of the Julian calendar . Events By place Asia China – Emperor Taizong ( r . 894 – 902 ) abdicates , and is succeeded by his son",87.59%
234,"The Busan Gudeok Stadium ( ; Hanja : [UNK] 山 [UNK] [UNK] [UNK] [UNK] [UNK] ) is a multi - purpose venue in Busan , South Korea . It is currently used mostly for football matches and is the home ground of Busan I - League team Gudeok FC . It is the home",97.39%
235,"In micro - sociology , interactionism is a theory of the way people react towards others . The theory was formulated by the French sociologist Jean - Paul Sartre in the 1950s . Interactionists believe that the way people react towards others is the result of their contact with the",100.00%
236,"Estelle Liebling ( April 21 , 1880 – Septe 19 , 1959 ) was an American artist who was a member of the Chicago School and the Chicago School of Design . Biography Born in Chicago , Illinois , Liebling studied painting at the Art Institute of Chicago from 1903 to 1904 .",79.29%
237,"Kristina från Duvemåla ( "" Kristina from Düsseldorf "" ) har kontakt med en annan kvinna som har kontakt med en annan kvinna som har kontakt med en annan kvinna som har kontakt",4.16%
238,"Corcoran is a city in Kings County , Cali . Corcoran is the name of the following places : Corcoran , Arizona , a city in Cochise County , Arizona Corcoran , California , a city in Kings County , California Corcoran , Florida ,",50.00%
239,"A goldsmith banker was a businessperson who was a master of the art of the barter system , a system by which a merchant would trade his products for the services of a skilled artisan who would create the products for the merchant . The barter system was used by the merchant to get",99.95%
240,"David Greig was the grocery ( initials ) owner at the store I worked at when I was 16 , and he was the only guy I ever knew who was a regular at the store . He was the only guy I ever knew who was a regular at the store I worked at when",93.32%
241,"Unplugged . . . and Seated is a live release rammed full of live music , highlighting various of the best names in modern British punk . Recorded at the famed London Town Hall in February 2000 , the record includes a wealth of classic material featuring some of the group ’ s major hits including ‘ L",97.94%
242,"The genera Dendragapus includes two closers and one more basal species , Dendragapus kunzii . Dendragapus kunzii is found in the Himalayan mountain range ( the Himalayan Alps , Himalayan Subalpine Mountains , Himalayan Sub",97.06%
243,Halima ' s Path is 2012 Bosnian - Croatian - Serbian - Turkish - Russian - Greek - Ukrainian - Hungarian - Russian - Turkish - Serbian - Turkish - Russian - Turkish - Serbian - Turkish - Russian - Turkish - Russian - Turkish - Russian - Turkish - Russian - Turkish -,99.79%
244,"Molly Erdman ( born 1974 ) is an American author , illustrator , and designer who has produced a number of children ' s novels , notably The Story of the Wizard of Oz , The Story of the Wizard of Oz , and The Story of the Wizard of Oz . Her work has been publication by The",87.59%
245,"Stirling Lines is a British Army garriso , a divisional formation of the Royal Artillery . The divisional formation was formed in 1914 by the merging of the Royal Artillery Regiments of Scotland and England and the Royal Artillery Regiments of Ireland and Wales . The divisional formation",76.02%
246,Volodymyr Polishchuk is a retired Sovie who was a member of the KGB . He was the head of the Soviet secret guards from 1980 - 1989 . He was the head of the secret police from 1980 - 1989 . He was the head of the secret police from 1980 - 1989 . He was,93.42%
247,Želivského is a station on Line A of thé Prague Metro . The station opened in December 2011 . References,4.16%
248,"Dog Man Star is the second released by Amerika . The album was released on March 21 , 2009 , by BMG . The album includes cameo stars by American rappers Lil Wayne and Lil B . The album charted at number three on the Billboard 200 chart , selling 10 , 000 copies in its first",99.77%
249,"Hedjkheperre Setepenre Shoshenq IV was a prince of the Kingdom of Shoshenq IV ( contemporary - day Ethiopia ) . He was the son of Shoshenq IV and the younger brother of Shoshenq IV ' s wife , Setepenre Shoshenq I .",64.73%
250,"Patty Loveless ( born Patricia Lee Ramey ; November 13 , 1950 ) is an American singer - songwriter and guitarist . She has sell over 20 million records worldwide , and has been inducted into the Country Music Hall of Fame and the Grand Ole Opry . Loveless has released",84.13%
251,"Laxmi Narayan Singh ( 16 October 1944 - 5 August 2018 ) was an Indian politician who was the first elected member of the Uttar Pradesh Legislative Assembly from the Jat population . He was the son of the Jat leader and former chief minister of Uttar Pradesh , Rajendra Singh . Laxmi was",18.29%
252,"The Bendidia was an ancient Athenian fesitval that celebrated the town ' s anniversary . The event was a major event for the cities , and it was the only fesitval that celebrated the cities ' s anniversary for the first time . The event was a major event for the cities , and",99.99%
253,Moovalur Ramamirtham ( 1883 – 1962 ) was a Tamil poet and lyricist who was a disciple of the famed poet Nalayiram . He was the son of the poet Nalayiram . He was the writer of the famous tune ' Nalayiram ' in the language,97.11%
254,"Thiania is a genera of jumping spiders fo the family Theridiidae . It contains the single species , Thiania kohdei , located in the United States . See also List of Theridiidae species ( A – Z ) References",89.70%
255,"A philatelic cover is an envelope preparatory to the shipment of mail , holding information about the contents of the envelope . The envelope is often employed by a philatelic seller to package a package for shipment , and is often employed by a philatelic buyer to package the package for shipment",58.64%
256,"Friedrich Wilhelm Kuhnert ( September 18 , 1844 – December 14 , 1918 ) was an Austrian painter , illustrator and author . Biography Kuhnert was born in Vienna , the son of a painter .He studied at the Vienna Academy of Fine Arts , graduating in",63.06%
257,"Pennsylvania Route 3 ( PA 3 ) is a state hwy in the U . S . state of Pennsylvania . It ran from its eastern terminus , the junction of PA 619 ( Harrison Street ) and PA 8 ( Harrison Street ) in Harrisburg , through the cities of Hershey , and",50.00%
258,"Hazard ' s Pavilion was a large auditorium , with a stage , orchestra pit , and a balcony . The stage was a circular stage , with the audience in the lower half and the orchestra pit in the upper half . Hazard ' s Pavilion was the first stage in the world to have",67.26%
259,"John Henry Walker ( 1831 – 1899 ) , a founder of the railroad trade , worked as the first president of the Southern Pacific Railroad in 1871 . In 1874 he was elected to the United States Senate , serving until 1881 . In 1874 he was elected to the United States House of",99.87%
260,"Tallgrass Beef Company is a Kansas - based meat and beef goods supplier . We have been in business since 1995 and have been a leader in the beef industry for over 15 decades . We have over 1 , 000 customers in more than 50 states and we are constantly looking for new opportunities to expand our",98.55%
261,"Jeff LeBlanc ( born February 9 , 1986 ) is a Canadian professional ice hockey player who is currently playing with the Hamilton Bulldogs of the Ontario Hockey League ( OHL ) . He also played in the National Hockey League ( NHL ) with the Boston Bruins , Tampa Bay Lightning , and the Calgary Flames . Le",89.70%
262,"Petty Enterprises ( formerly Lee Petty Ensemble ) was an American blues orchestra founded in the mid - 1950s by trumpeter Lee Petty . The orchestra was led by Petty ' s son , Lee Petty Jr . , and included many of the original members of the original orchestra of the same naming .",93.32%
263,"Arthur James McLarney ( December 20 , 1908 – January 10 , 1982 ) was an American politician who was a member of the Democratic Party who was the first mayor of the cities of Chicago from 1951 to 1955 . Born in Chicago , Illinois , McLarney graduated from the University of Chicago",76.02%
264,"Mark Gregor Strang Donaldson , ( born 2 February 1946 ) is a British actor , best known for playing the character of the Doctor in the BBC television show Doctor Who . He has featured in countless other television shows , including The Bill , The Avengers , The Bill , The Avengers : The Final",99.77%
265,Developmental psychology is the scientifical study of the brain and behaviour and the study of the brain and behaviour and the study of the brain and behaviour and the study of the brain and behaviour and the study of the brain and behaviour and the study of the brain and behaviour and the study,12.57%
266,"The Kansas City Ballet ( KCB ) is an AmeriCorps corps de ballet , a group of dancers who have completed a yearlong commitment to performing in the Kansas City area . The performers are paying for their shows by the Kansas City Ballet and by the AmeriCorps corps de ballet , as",97.39%
267,"Gerald David ""Lorenzo"" Music (May 2, 193...
Gerald David ""Lorenzo"" Music, 78, of East Alton, died Tuesday, Jan. 31, 2017, at his home.Start the conversation, or Read more at Daily Journal.",98.73%
268,"The Kerala massacre ( no links to thalassaemia ) I ’ ve been reading a lot about the Kerala slaughter , the worst single massacre in the history of the world . It ’ s been a week now , and I ’ ve been reading about it for",90.16%
269,"Ra Meliga , sometimes called as Melaga or Melega , is the name of a hamlet in the District of Nenek , Bursa Province , Turkey . It is away from the town of Nenek , and from the town of Nenek , Bursa Province .",97.06%
270,"Waterford city is situated in south east of Ireland . It is the capital city of County Waterford . It is the only town in Ireland which has the name of a river . The city is the location of the River Lee , which originates from the River Shannon in County Limerick .",87.59%
271,Ultratumbita ( real name unrevealed ) is a 19 - month - old who was convicted for reportedly stole a pair of sneakers from the store in the town of Nueva Ecija . The accused was caught on CCTV theft the sneakers from the store in the town of Nueva,99.96%
272,""" Starless "" is a composition by English piano composer John Newton , originally published in 1794 . It is the only Newton work that does not include a single violin , and was released as a suite for the harpsichord . The suite has been called a "" romantic symphony "" .",78.07%
273,"The caper story is a subgenre of the detritivore genre . Detritivores are the beasts that eat deceased things , and they ’ re very good at it .The problem is that they ’ re very good at it , and it ’ s very hard for",87.59%
274,"Snake ' n ' Bacon is a comic book series crossovers the world of Spider - Man and the world of Venom . The series was developed by writer Dan Slott , artist Dan Mora , and colorist Dan Didio , who were all on the writing staff for the Spider - Man : Into",98.37%
275,"Leslie "" Les "" Merritt is a Republican pol who was elected to the Florida House of Representatives in 2012 . He represents the 17th District of the State of Florida . Merritt ' s campaign website includes the following statement : “ I ’ ve been a Republican for the",73.65%
