Unnamed: 0,water_easy
110,"The Hungarian Prime Minister of Hungary from 1920 to 1922 was Gheza or Géza Vida , a retired student of the Hofwirte School of Music . He attended the Royal Military Academy in Budapest and later fought in the Austro - Hungar Army .In 1916 , his father entered the newly established HUNGARY National Defence Force , where he served until 1917 ."
111,"One of the earliest women members of art society in France was Suzanne Duchamp - Crotti , who gained entry to the Académie des Beaux - Arts . She is better known for her collaboration with Marcel Duhagen , where their 1919 painting "" Nude Descending a Staircase "" was considered controversial upon its debut exhibition .After marrying Raymond Du Chambé in 1925 , she ceased painting and became more involved in the design / manufacture of furniture ."
112,"Born in Schenectady , New York in 1820 , John R . Buchtel ( 1820 – 1892 ) was an American surgeon and scientist who made significant contributions to the fields of physiology , pathology , and immunology . He also became a pioneer in the study of leprosy and tuberculosis ."
113,"- graphy is an English name that describes to both drawing , painting or sculpture and the study of geography . The term has also been used in English since the early 1500s , when graphy was introduced ."
114,"An Irish aristocrat , author and beauty queen , Carolina Oliphant was born in Dublin on August 16 , 1766 . She was the daughter of The 4th Earl of Meath and his wife Lady Charlotte Boyle and was baptized at the Church of Ireland Saint Patrick ' s Cathedral on September 1 , 1756 .In 1793 , she married The Hon . Thomas Nairne , brother of William T . Hamilton and James Patterson ."
115,"Craig McLachlan , a fictitious character in the Australian soap opera Neighbours , played by Craig Clarke . He made his debut on the 6th episode of the program on January 17 , 1991 , but departed in 1994 .Critics have praised McLalan ' s portrayal as one of its most exceptional performances , with viewers naming him as the "" Ultimate Neanderander "" in 2007 ."
116,"Rondo Emmett Cameron , who was born in Chicago , Illinois , on February 20 , 1925 , passed away in a vehicle accident in France in 1967 . He had been an active jazz composer and composer until his early years .His playing the trumpet began at the age of six when he attended the Chicago School of Jazz with Pee Wee Crayton and Max Roach . After that , junta members continued to work with John Coltrane and Cannonball Adderley during their months together working as members of the Miles Davis Quintet ."
117,"The tale of Kush - Nama , a Persian epic poetry written by Firdausi in the 11th century , about Ahriman and his destroyed of the Zoroastrian faith , is regarded one of its most important and influential works . It has been described as surprisingly poetic , spellbinding , charming , and universally beloved .There are three sections to each of these "" cantos "" , with the first part discussing the narrative within the bigger group of nine ."
118,"The Sevastopol Bridge and the Stalin Bridge are both metal suspension dams that cross over the Kerch Strait . The bridge , which is named after Joseph Stalin , was constructed in 1945 to connect Sebastopoli to the Russian mainland .It has a principal span of 4 , 096 meters and an overall length of 8 , 576 meters ."
119,"Born in Belgrade , SR Serbia , SFR Yugoslavia , on June 30 , 1964 , she is an actress and musician who graduated from the Academy of Theatre Arts in 1988 . She originally acted on stage at the age of 16 in Anton Chekhov ' s play "" The Cherry Orchard "" in 1987 , and her film debut was in 1989 when she played Jelena in the film "" Korak poroshnaya "" ( 1989 ) ."
120,"The Japanese tokusatsu television miniseries , which was broadcasted in Japan from September 7 to October 14 , 2010 , is a sequel to the 2007 Toei film "" The Cat "" and focuses four protagonists as they battle for survival in their cities ."
121,"On October 31 , 1978 , 154 passengers and 6 crew members were killed when their McDonnell Douglas DC - 9 - 30 jetliner aircraft , Alitalia Flight 618 , crashed near Rome , Italy on 31 October . The cause of the accident is still being investigated , with theories suggesting a high - speed stall or loss of control ."
122,"Born in Llanelli , Wales in 1879 , Eleanor Vachell was a pioneer in the study of Welsh botany and later became renowned for her work on this subject . She proceeded on to become an tutor at the University of Wales before becoming based at Cambridge where she served as rector from 1922 to the end of her tenure in 1948 ."
123,"One of the fathers of modern psychiatry is Ezra Brainerd , an American physician and scientist who was born in Waterville , Maine , on December 17 , 1844 . He received his medical degree from the University of Pennsylvania in 1865 and practiced Psychiatrie in Philadelphia for several months before moving to Chicago where they were affiliated with the college .His work on mental illness received him two Nobel awards ."
124,""" Rockin ' for Myself "" by Ray Charles was released as the first single from his eleventh studio album , Genius Loves Company , in 1956 . The track was written by him and went on to achieve number one status on the "" Billboard "" Hot 100 chart .It additionally reached the top of the charts in Canada and the United Kingdom , with over one million copies sold in the US ."
125,"The Champions , a fictitious squad of wrestlers , were featured on the American television show Championship Wrestling from Florida ( CWF ) from 1975 to 1978 . They were one of the most popular wrestling teams during the 1970s and early 1980s .Bill Watts formed the team , which included Greg Valentine , Bob Backlund , Bruno Sammartino , and Ricky Steamboat . The squad often faced off against shows like the Midnight Express , the Rockers , and even The Islanders ."
126,"The only cyclist to have won the Monument classification in all three Grand Tours , notably the Tour de France , Vuelta a Espaa , and the Giro d ' Italia , was Massimiliano "" Max "" Biaggi , born on 26 June 1962 . He also won two stages of the Stages 1 and 2 stage of that race , making him one of Italy ' s greatest bicycle stars ever ."
127,"The Royal Navy corvette HMS Ben - my - Chree , sometimes called as the "" Woman of My Heart , "" was constructed by J . Samuel White of Cowes , Isle of Wight in 1912 and commissioned in October 1914 . She served in the Mediterranean Sea during World War I , participating in multiple major battles notably the Battle of Cape Matapan and the Siege of Antivari over South Africa ."
128,"Having appeared for the Detroit Lions of the National Football League ( NFL ) , Akiem Jamar Hicks was drafted into the NFL draft in the fourth round by the Chicago Bears . He also played with the Houston Texans , New England Patriots , and Detroit Red Wings during his time at Cleveland State University .Over the course of four seasons , he recorded 122 tackles on 20 sacks and six forced fumbles while playing for both teams ."
129,"Indigenous multimedia artist and filmmaker Pamela J . Peters is born in Oklahoma on October 2 , 1972 , in the Muscogee ( Creek ) Nation land . She was raised in this community and has a long - standing connection to the Muskoka Lumpkin Tribe ."
130,"Located in Jacksonville , Florida , Sugar Hill is a community of African Americans who are traditionally middle class and live on ebony cliffs that overlook the St . Johns River and Downtown Jacksonville . It was originally called as "" Sugar Hill Plantation "" during the mid 1800s but expanded further after World War II and by the 1970s had 50 , 000 inhabitants .Presently , it is mainly residential and has fewer inhabitants than enterprises , with only 2 , 000 units or more housing provided ."
131,"The Syracuse Crunch , an American professional ice hockey player , is currently playing for the AHL team . Brandon Nakashima was selected in the first round of the 2018 NHL Entry Draft , ranking as the 12th overall ."
132,"The town of Thaumaci , sometimes called as Thaumbaci in ancient Arcadia , was positioned on the banks of the Acheon lake , roughly two stadia away from the sea - shore and four hwy from that stream . It was home to army commanders who supported the Peloponnesian War , while its size persisted under the leadership of Aristodemus ( Thocydides ) , but its precise location is uncertain ."
133,"Currently teaching at KU Leuven , Doug de Vries is a professor who has specialized in health economics and other fields . He was born on 26 July 1960 and studied economists such as Thomas Broeder and Robert Broon .His doctorate was given by the University of Cambridge before moving to Belgium , where he continues his studies ."
134,"One of the first American punk - rock fusion , as well as heavy metal and progressive punk groups , to appear in Chicago is the post - punk scene in which The Make - Up was born . They established in 1978 and went on to become one of its most notable stars , using their blend of punky energy and heavy music to assist form a movement that was beginning to emerge in the cities .Their self - titled first album was released in 1980 and swiftly becoming antecedent to the movement ' s second album by the same label ."
135,"In Jos , Nigeria , the Kobok Museum is situated . The museum was established in 1978 and has a exhibition of over 400 , 000 items .It is open to the public from Monday to Friday 8 : 00am to 4 : 00pm and on Saturday 9 : 00am until 2 : 00pm ."
136,"Carol Steen , an artist , author , and curator , has exhibited her work in museums and museums throughout the United States and Europe . She was given the Ernst Ludwig Kirchner Foundation fellowship for this piece .Her training includes a B . A . from Barnard College in 1973 and an M . F .A from Yale University in 1976 . Since 1978 , she has been taught at Yale ."
137,"Born on April 19 , 1957 , to Frank John Viola Sr . and Dorothy Violo ( born May 2 , 1975 ) in Queens , New York City , Vington was raised as Philip K . Dick in Blade Runner 2049 and as Frank Castle / The Punisher on the Marvel Cinematic Universe ; he has two siblings , Michael and Thomas . He had a childhood ambition of being largely suited for the world of comic book art , but his parents denied him this chance ."
138,"Israeli - American artist and writer Liah Greenfeld is known for her interdisciplinary artistry and writing skills , having penned six volumes namely "" The Master ' s Tools Will Never Dismantle the Master ’ s House "" , published by Metropolitan Books in 2017 . Her father was a professor of Russian literature at Moscow State University , while she relocated to New York City after completing her bachelor studies at Tel Aviv University ."
139,"Nina Barr Wheeler , an American biblical scholar and archaeologist , was born in Kirtland , Ohio in September 1909 and worked as a professor at Brigham Young University ( BYU ) in 1958 . She achieved fame for her work on the Dead Sea Scrolls , the Book of Mormon , and early Christianity ."
140,"Bradford Cox , an American ambient musician born in Gainesville , Florida on December 11 , 1970 , at age twelve , beginning his career by playing guitar and writing his own music . He was influenced by the shoegaze and post - rock styles of the early 1990s , leading him to create Kranky , his imprint in 1997 , and debut his debut album , "" The Emotional Void , "" with a agreement with 4AD in 1999 ."
141,"Born in Bhopal , Madhya Pradesh , on December 1 , 1952 , to poverty parents , Jitendra Satish Awhad is an Indian Politician and a member of the Indian National Congress . He has been residing in the lower house of Parliament since 2008 as he completed his education at Saint Mary ' s School before moving to Delhi for pursuing PG studies ."
142,"Born in Orem , Utah , on July 21 , 1980 , Christian Cyrus Leben is an American MMA fighter who has formerly participated in the welterweight division and joined the UFC in 2010 ."
143,"The Hydro - Electricity Commission ' s ( HEC ) Waverley Scheme comprises four reservoirs , two of which are situated in the Central Highlands of Tasmania , Australia . The Waverton Reservoirs are built from 1954 to 1957 ."
144,"In 1977 , K . Asif directed the Hindi Indian romantic movie Swami , which was produced by J . B . Lander and starred Shashi Kapoor , Neetu Singh , and Om Prakash .The music was composed by Laxmikant Pyarelal while the lyrics were written by Anand Bakshi ."
145,"The Assisi Diocesan Museum , which opened in 1951 , is a exhibition of art and history with an area of 1 , 259 square meters as of 2009 , comprising objects from the 12th century to the present day , such as paintings , sculptures , prints , and coins . It has 25 , 000 pieces on exhibit yearly , making it one of the largest museums in Italy .The museum also houses about 7 , 500 items , mostly made in the Italian fashion style , along with many by artists from other countries around the world , like those living in large cities who are now located in different areas of bigger audiences ' artwork"
146,"KETR ( 88 . 9 FM ) is a noncommercial radio station licensed for its broadcasting frequency of 100 kW and serves the Kettering community with primarily Contemporary Christian music , beginning as WKET - FM in 1978 being an FM simulcast of what became called as "" Ketterington Herald - Post "" . In 1994 , First Media purchased the station and changed its call signs to KTTR before merging with Clear Channel Communications in 2001 ."
147,"Cruentis , a Swedish black metal group , was founded in 1997 and has since released six records . Their most current album , "" The Sin and the Sentence , "" was released in 2017 , making it one of the first bands to release on vinyl ."
148,"The Aotidae family of monkeys comprises the common woolly monkey , brown woollies , capuchin monkey and Aortus trivirgatus , and is arboreal ( living in trees ) with long fur coats . The common Woolly Monkey is the most widespread of the group ; found throughout much of South America from northeastern Brazil to northern Argentina as well as in Bolivia , Ecuador , Peru , and Venezuela , while the brown was seen global except for Brazil ."
149,"Marvin Fojas Ramirez , a midfielder for Atlético Nacional , was born in Medelln , Antioquia , Colombia on December 28 , 1994 . He played his debut professional football game with the local side Atlantico Nacion at the age of six before finding an impact with their Under - 20 team ."
150,"Born in New York City on July 20 , 1918 , Boris Abbott Jacobsohn was an American composer , conductor , and musician . He studied with Felix Weingartner and Alfred Cortot at the age of five , followed by Arnold Schoenberg and Fritz Reiner for studying composition ."
151,"The United States Supreme Court has ruled 5 - 4 in Attorney General v . Khan , a case concerning an appeal by Agha Khan against the U . S . Department of Health and Human Services ( HHS ) decision that mandated him to submit X - ray pictures of his family to other persons applying for federal health benefits ."
152,"A French and an English surname , Abadie ."
153,"A internet portal is a website that has been designed to act as an online hub for users . It can be used to supplement or replace conventional website addresses and can vary in different industries such as business , education , government , health healthcare , news sites , blogs , businesses , products , services , product promotions , service vendors , and more ."
154,"In 2011 , Will Forte wrote and directed High Road , an American improvised road film that takes place on a deserted section of road in the American Midwest . The only survivors are ten grown - ups ( Forte and Wiig ) and their daughter ( Diaz ) ."
155,"Rupa Lake , sometimes called as Rappa Tal , is a freshwater lake situated in the Himalayas , east of Leh in Jammu and Kashmir , India . It is also known Khardung La due to its name , and it flows above the Zanskar Range before connecting with the Indus River at LeH .The pond has an area of and reaches ice thickness between November and May ."
156,"The net force in mechanics is the result of two forces acting on a body . It is equal to the sum of the forces working on the bodies , and it is directed away from the center of mass ."
157,"During his time at Manchester United , Kumabayashi , a retired Japanese footballer , won five Premier League titles , one FA Cup and one Champions League . He starred for both FC Tokyo and the Japan national squad as defenders ."
158,"The Institutional Revolutionary Party ( PRI ) member Alejandro Celestino Toledo Manrique , born on 28 January 1966 , was elected as the 36th President of Mexico in 2006 and served for two years . He is originally from Tijuana , Baja California , and graduated from the prestigious Universidad Autónoma de Bahia in 1988 with BS in economics ."
159,"The Binghamton Senators of the American Hockey League ( AHL ) have an assistant coach dubbed Steven Donato Cangialosi , who was born in Passaic , New Jersey on October 28 , 1963 . He played for the Calgary Flames , Hartford Whalers and Philadelphia Flyers during his time in the NHL ."
160,"The Utah Stars of the ECHL compete their home games at Ogden Park , also known as Oggden Skating Rink and Ogarden Arena , which is a 1 , 500 - seat multi - purpose venue . The stadium was originally built in 1971 but was later renamed OGDEN Arena in 1978 .In 1978 - 79 , the Starrs played their debut season in the arena ; they won their initial ELISA championship in 2002 after renovating it for $ 2 million ."
161,"Noel Kelehan , an Irish composer , arranger , and musician , was born in Dublin in 1935 . He was the son of violinist Paddy Kelkehan and his wife Therese and studied at Trinity College and the Royal Academy of Music in London .His work involved producing music for Van Morrison , Glen Hansard , The Corrs , arranging pieces for Mozart , Beethoven , Brahms und The Frames sowie conducting concerts by The Beatles , Iwan Janck and Madonna Keating ."
162,"The artist Lev Philippovitch Wolkenstein ( 1858 - 1935 ) was born in Moscow and studied at the Imperial Academy of Arts under Karl Bryullov and Konstantin Makovsky . He was also a member of the Peredvizhniki association of painters and sculptors and co - started the Society of Artists of Revolutionary Russia in 1889 with Ivan Kramskoi , Dmitry Filonov and others ."
163,"Born on December 12 , 1977 , Andrew Williams is an American guitarist and musician who gained fame as the lead guitarist / back singer of the American rock group Train and was nominated for a Grammy Award for his work on the group ' s second album , "" Train "" . He was raised in Elizabethtown , Kentucky , to play guitar after being introduced to bands like Def Leppard , Kiss , and Whitesnake .He attended Eastern Kentucky University where he met fellow musician and future Train bandmate Patrick Monson during their final performance ."
164,"Claythorpe , a hamlet situated in the rural region of the Peak District National Park , is situated approximately 1 mile south of Darnall village and 2 miles west - west of Bradfield . It is within the metropolitan borough of Sheffield , with its inhabitants residing in an area that comprises quaint cottages and farms , as well as fifteen small public buildings and ricket houses ."
165,"The James Hoge House , also known as Halwyck or the Halwachka - James - Hoge Residence , was constructed in 1818 and is situated in Newport News , Virginia . It was originally owned by James H . Hogge , who served as the first mayor of the cities .Kathy O ' Neill undertook a substantial renovation in the mid 1990s and early 2000s ."
166,"Heraldry claims that the smallest natural number is 363 ( three hundred [ and ] sixty - three ) , which is also known as three hundred and six ."
167,"New York City ' s school districts are known to as Abbott districts , with the present 21st , 23rd , and 25th being the most numerous . The district is situated in the southernmost parts of Manhattan , comprising Harlem and the Upper West Side , Greenwich Village and Soho , while Chelsea and Midtown are within the 25 - block radius ."
168,"In the Scottish Borders , in the 14th century , Castle Abbey was established as a Category A listed tower house . The castle is situated in Fetteresso , pictured , and dates back to at least 1220 .It was built by the Maxwell family and first recorded proprietor Sir David Max well before it becoming part of the Drummond clan in 1314 after his dying at the Battle of Bannockburn in 1616 ."
169,"The Labour Party Conference is the party ' s major policy - making summit , which occurs held in the fall . It elects the leader and approves its manifesto for the upcoming election .The labour party was founded in 1892 , and has been in existence since then . In the 2017 general election , the Labour Parties won 232 seats in Parliament , making them the Official Opposition ."
170,"In mapmaking , figure - ground contrast is the measure of the difference between the shapes and sizes of features on a mapping and the spaces around them . This term often refers to maps of real or imaginary landscapes , but can also be used for maps that include abstract concepts .Figure - ground comparison has an important role in map making because it affects how viewers feel when most elements are big and well - defined ; others see whether they will overstep their visual stimulus while using mapping with mostly features that are larger and easier to navigate ."
171,"Eleanor Richardson , who was born in 1986 , is an English actor and model . She achieved fame for playing Jeanine Matthews in the ITV soap opera Coronation Street from 2010 until her departure in 2013 .Born in London , England , she studied at the National Youth Theatre before making a comeback appearance in Channel 4 series Grass Skirt Blues ( 2005 ) . In 2010 , she returned to the sitcom Operation Square and eventually left the show after three seasons ."
172,"A Japanese castle built in the yamajiro style in Nanao , Aichi Prefecture , was constructed by Morinaga Yoritomo ' s son in 1476 as part of a substantial expansion of his holdings in this area . However , it was sacked and destroyed by Toyotomy in 1587 during his invasion of Kyoto ."
173,"The surname Botta is a common name in Italy , and its members include Giovanni Battista Botna , Giorgio Botto , who painted from 1838 to 1815 ."
174,"Born in London , England , to a family of booksellers , Joseph Marlow ( 1854 – 8 November 1925 ) was an English journalist and author who penned his best - famous novel The Man Who Knew Too Much ( 1934 ) , as well as plays , poetry , and non - novels . He subsequently left law at the University of Cambridge after many years to pursue journalism after working as retroff for newspapers before becoming editor of the Sunday Times in 1892 .His first novel, The Return of Noah, was his most notable work."
175,"The Pegasus constellation ' s V391 Pegasian b , or HS 8101 , is a star that has an effective temperature of roughly 5 , 500 kelvins and is approximately 1 . 5 billion years old ."
176,"Joseph Henry Reason , an American scientist , was born in Rochester , New York in 1905 . He is known for his contributions to thermodynamics and statistical mechanics , as well as his work on the mathematical theory of electricity and heat .After receiving his B . S . from the University of Rochester in 1900 , he studied at the Technical College of St . Petersburg and received his PhD from Berlin in 1928 ."
177,"In 2013 , the film Sleep , directed by Samuel Bayer and written by Scott Beck featuring Jason Segel , Kirsten Dunst , Jesse Eisenberg , and Rooney Mara , is a dark comedy - thriller that describes how sleep has become an inexhaustible necessity . The tale centers around two couples who spend their whole week awake to obtain enough rest to function during the night ."
178,"The Malabar uprising came occurred in Kerala , India between August 20 , 1948 and May 16 , 1949 . It was battle by the Indian National Congress and the Communist Party of India against the British Raj .The revolt started on August 19 , 1948 , when a group of Congress activists and communists tried to take over the Government House in Thiruvananthapuram . By May 16th , 1949 , it had been suppressed ."
179,"A form of murder , Judicial killing involves the intentional and premeditated killing of a court , prosecutor , or other judicial officer . It is often related with countries that have been plagued by instability and corruption in the past .In some cases , prosecutors used jusvices to silence complaints into political corruption and disqualify political opponents ."
180,"Flook , a social networking and proximity - based application that allowed users to exchange photos and locations , was developed by Socialbakers and went into beta development in October 2014 . In February 2016 , the company shut down due to low user adoption rates ."
181,"The creation of the Gender Park in 2013 witnessed a major moment as it becoming the first public park worldwide to promote the exploration and celebration of gender diversity . It was meant to promote visitors to feel safe and comfortable while exploring various genders and sex orientations in inhabited areas .The park is situated in the heart of Barcelona , Spain , and operates from 10am to 10pm daily ."
182,"Established in 1997 , CrucialTec is the key producer of high performance , low latency memory and storage solutions . Its advanced and dependable products have making it one of the world ' s top manufacturers of such products ."
183,"Cassandra Lee Morris ( born April 19 , 1982 ) is an American actress and musician who has featured in the shows Friends , New Girl , and Betty Cooper . She was born in Dallas , Texas , to Sandra Morris and Michael Morris , her parents , as well as two siblings ."
184,"The 1976 Summer Olympics showed Charlton Ehizuelen , a Guyanese sprinter born on November 30 , 1953 , participating in the men ' s 200 metres ."
185,"Born on May 22 , 1950 , Eric Alan Hanushek is a influential American economist who holds the post of Professor of Economics at Stanford University and later functioned as the provost from 2002 to 2006 . His work has contributed to several important conceptual and empirical fields , notably worker economics .His most notable research has concentrated on the factors that affect the distribution of resources between the United States and other countries in relation to pay and employment ."
186,"Capers are a family of flowering plants that belong to the Capparaceae ( or Capparidaceae ) order . There are approximately 165 genus and around 2 , 000 species of capers , scattered throughout the temperate and tropical areas of the world .The caper family is characterized by small shrubs with alternate or opposite fleshy foliage that grow in an upright manner and exhibit floral or semi - obscurate shape ."
187,"The Squee ! comic book series , which was released by Marvel Comics in 1991 , had four issues .It centered on the aftermath of the destruction of Xandar and starred the New Warriors , a group of young super - heroes who were created to cope with the damage . The squad was led by former x - Man Cyclops , and included Angel , Beast , Iceman , Nightcrawler , Joker2 , and Spidey ."
188,"Founded in 1965 and playing in the Finnish Premier Division , the November Group ( Marraskuun ryhmä ) was an association football club located in Helsinki , Finland . They finished as runners - up in their league until 2006 when they merged with Myllypuro and went on to complete their year of football education there ."
189,"The Joseph Fessenden House , situated at 9 Maple Street in Waltham , Massachusetts , was one of the most well - surviving Federal era residences in the town . It was named a National Historic Landmark in 1964 and stood 2 - 1 / 2 stories tall with carved gabled roofs , side chimneys ( trees not included on this property ) , and has clapboard exteriors .Inside , there is mainly neo - gothic architecture ; it also contains ten principal living spaces that are distributed out across two staircase flanked interior vestiguesgues to man caul"
190,"Paola Arlotta , born 1971 , is the Golubev Academic Professor of Russian Literature and Cultural Studies at the University of California , Irvine . Her study centers on nineteenth - century Russian literature , with a focus on the writings of Alexander Pushkin and Nikolai Karamzin .She has been noted for her careful investigation of Pushkins ' poetic and literary legacy and her sensitive handling of gender and sex . Additionally , she has published frequently about Russian cinema , particularly in the early Soviet period ."
191,"Ab Manr ibn Amad azhar ( born 989 ) , also known as Abu Mansur al - Azhari , was an Egyptian Islamic scholar who functioned as the grand imam of Al - Din Gatani Mosque in Cairo from 975 until his dying ."
192,"Born in 1972 , Lee Jung - jae is a South Korean actor and musician who has featured in the TV series Boys Over Flower , Heartstrings , and I Need Romance . He attended Hanyang University and worked as an editor for NBC before making his debut in 2002 .His breakout role was seen in 2004 with HeartStrongs."
193,"Among the notable individuals with Sperry ' s surname are James Sperery , an American naval captain and inventor from 1781 to 1855 , and John Sperries , who served as an military colonel in the US during World War II , for example ."
194,"Ceol Aduaidh , a group of Irish folklore songs , was founded in 1989 . It is made up of Fiddler Peadar Cudden , flute player Dónal Lunny , bass player Seán è Riada , and vocalist Christy Moore who play traditional Irish and Scottish melodies as well as American folk songs ."
195,"A union council and town named after Mirza Ghulam Ahmed , who created the Ahmadiyya Civil Society in 1892 , is situated in Mianwali District in Pakistan . The town is also known to as Huwwarah or Huwasuddin .Its population was estimated to be 11 , 603 according to the 1998 census ."
196,"A Chinese mathematician and computer scientist , Paul Guo Wenzhi is better known for developing the theory of algorithms ( both first published in Computer Science publications ) before moving to Beijing . He also authored the book Theory of recursive algorithms ( 1939 ) , which explores the history of computing machines ."
197,"The Ramsay Street cul - de - sac in the Australian soap opera Neighbours is where the family and their neighbours reside . It has served as an important setting for numerous significant storylines and characters , notably the love tale of Ramthink sons Jason and Scott , who moving to Newbury in 1993 , and Kylie and Jason were brought into Neeb ' s lives ."
198,"Born in Meridian , Mississippi on October 30 , 1916 , Miles was an American blues artist and musician who toured the United States and Europe from the age of 12 to 20 . He also recorded heavily for various labels and reached his peak performance in the 1950s , when he regularly played on television and played with Big Joe Turner ."
199,"Valeri Vladimirovich "" Val "" Bure , a retired Russian professional ice hockey player , played for the National Hockey League ( NHL ) and was inducted into the Hockey Hall of Fame in 2009 . He started his career with CSKA Moscow in the Soviet Union and later played professionally for North America .He earned 930 points ( 455 goals and 430 assists ) in 896 games ."
