Unnamed: 0,original text,Watermarked_And_Paraphrased
45,"In combat sports such as boxing, an orthodox stance is a standing position with the feet slightly wider than shoulder-width, the weight shifted towards the ball of the foot, and the hands held close to the body.

The orthodox stance is considered to be one of the most effective stances in boxing. It allows a boxer to cover more ground with their footwork, and also keep their opponent at a distance by preventing them from landing clean punches.","Boxers use an orthodox stance, where they stand with their feet slightly wider than the knee and focus on the ball of the foot while keeping their hands close to the body. This vantage point is often overlooked in combat sports as it allows them to cover more ground and prevent their opponent from landing clean punches."
46,"Alonso de Ojeda  (; c. 1466 – c. 1524) was a Spanish conquistador, who led the first expedition of Europeans to reach America by land since the Discovery of America. He is considered the first European explorer of the Americas.

Ojeda was born in Palencia, Spain circa 1466. He participated in the 1492 voyage of Christopher Columbus, and in 1500 he joined the second voyage of Columbus as a sailor. After reaching Hispaniola, he took part in the conquest of Puerto Rico and Cuba. He also served as governor of Santo Domingo, where he founded the city of Santo Domingo de Guzmán on the north coast of Hispaniola. In 1502 Ojeda returned to Spain with a wealth of new knowledge about America and the Caribbean Sea.

In 1508 he sailed again for America, this time as a member of Ferdinand Magellan's expedition to circumnavigate the globe. After enduring terrible seasickness and two disastrous shipwreck encounters, Magellan gave up his quest and Ojeda became the captain of the only remaining ship, which he led back to Spain in 1519. Along the way, he discovered Guam and claimed it for Spain. Ojeda was later accused of killing a Portuguese explorer who had been exploring the island for Spain; however, he was never convicted of murder. 

Ojeda died in Cádiz or Seville around 1524, aged about 66 years old.","The Spanish conquistador Alonso de Ojeda, who was born in 1466 in Palencia, Spain, became renowned as the first European explorer to set foot on America. He is also known as ""the Great Ocean,"" having led the expedition's first land-based mission since the Discovery of America and being a member of Christopher Columbus' second voyage in 1500."
47,"Anna Rezan (; born 12 December 1992) is a Swiss professional tennis player.

Rezan has a career high WTA singles ranking of No. 167, achieved on 18 February 2018. She also has a career high WTA doubles ranking of No. 543, achieved on 23 February 2018. Rezan has won one singles title, one doubles title and three mixed doubles titles on the ITF Women's Circuit.

In 2015, Rezan won her first WTA tour title at the Copa BNP Paribas Open in Indian Wells, California, defeating Madison Keys in the final.

Rezan was born in Zürich to a Serbian father and Swiss mother. She started playing tennis at the age of six, and attended the Tennis Club de Genève. Rezan played collegiate tennis for Stanford University in the United States from 2012 to 2014 before turning professional.
","Anna Rezan, born in 1992 on December 12th, has been a prominent figure in the tennis world for many years. She achieved realism by winning one singles title, another single and adding three mixed doubles titles on the ITF Women's Circuit to her record. In 2015, she won her first WTA tour championship at the Copa BNP Paribas tournament in June of that year."
48,"Marybeth Yuen Maul (March 26, 1925 – January 3, 1990) was an American actress, singer and dancer. She is best known for her roles as Dot Matrix in the sci-fi TV series ""The Invaders"" (1958–1959) and as the voice of Belle in the Disney animated feature film ""Beauty and the Beast"" (1991).

Maul was born in San Francisco, California, to Chinese immigrant parents. She began her career as a dancer and singer in nightclubs before making her television debut in the series ""The Invaders"" in 1958. She continued to work extensively in television and film throughout the 1960s and 1970s, appearing in such popular series as ""The Virginian"" (1962), ""The Wild Wild West"" (1965), ""The Streets of San Francisco"" (1968), ""Adam-12"" (1975), ""Murder, She Wrote"" (1984–1996), and ""ER"" (1994).

Maul's voice acting career began with her performance as Belle in the Disney animated feature film ""Beauty and the Beast"" (1991). She reprised her role in the direct-to-video sequel """" (1997) and reprised her role once more for the 2017 live action remake of the film. Maul also appeared in a number of other films and television programs throughout her career, including roles in ""My Cousin Vinny"" (1992), ""Nixon's Watergate"" (1995), and ""JAG"" (1997). She died from cancer","Marybeth Yuen Maul, an American actress, singer-songwriter, and dancer, was born in San Francisco, California, to Chinese immigrant fathers. She gained fame for her portrayal of Dot Matrix in ""The Invaders"" and Belle in the Disney animated feature film "" Beauty and the Beast"" in 1991."
49,"In mathematics, an almost periodic function is, roughly speaking, a function whose behavior appears to be periodic, but for which there is not a precise mathematical description. Such functions can be difficult to analyze and predict, and their properties are not always well-understood.","A function that appears to be almost periodic in mathematics can be difficult to interpret and predict, as its behavior is not always well-defined."
50,"The Blackest Beautiful is the third studio album by American rapper and songwriter A$AP Rocky. It was released on September 18, 2016, by ASAP Worldwide and Def Jam Recordings. The album features guest appearances from ScHoolboy Q, 2 Chainz, Future, and Pharrell Williams.

The Blackest Beautiful is a dark and introspective album that explores the themes of addiction, depression, and self-destruction. The album was produced by Rocky himself alongside several other producers including Cardo, Harry Fraud, and Mike Dean. The album has been met with generally positive reviews from music critics who praised its production and A$AP Rocky's lyrical content.

A$AP Rocky released his first album Long.Live.A$AP in 2013 to critical acclaim and commercial success. His second album AT.LAS.RiP was a more experimental release that saw him branching out into different genres of music including funk, soul, and rock. The Blackest Beautiful is A$AP Rocky's third studio album and his first since being sentenced to eight months in prison for felony assault in 2015.","On September 18, 2016, A $ AP Rocky, an American rapper and musician who founded ASAP Worldwide and later released his third studio album, The Blackest Beautiful. The album featured guest appearances from ScHoolboy Q, 2 Chainz, Future, and Pharrell Williams and was produced by Rocky with the help of Cardo, Harry Fraudman, Jordin Sparks (aka CrazyStreetZ), and Imelda Garza."
51,"Oryzomys dimidiatus, also known as the Nicaraguan rice rat, is a species of rodent in the family Cricetidae. It is found only in Nicaragua. Its natural habitats are subtropical or tropical dry forests, subtropical or tropical moist montane forests, and heavily degraded former forest.","A rodent species called Oryzomys dimidiatus, also known as the Nicaraguan rice rat, is found in Nicaragua's subtropical or tropical dry forests, montane woodlands, and heavily deforested areas of the animal kingdom."
52,"In computing, the Windows Driver Model  (WDM) is the software architecture for drivers for the Windows operating system. It was first introduced with Windows 95 and has been refined since then. The WDM is a model-based system that sets out how different types of drivers interact with the operating system.

The WDM allows drivers to be written in a standard, modular fashion, which makes it easier for developers to create and maintain drivers. The WDM also allows drivers to access common functions and resources across all versions of Windows, making them more reliable.","Windows drivers are based on the Windows Driver Model (WDM), which was first introduced with Windows 95 and has been improved since then. This software architecture allows developers to create and maintain drivers in a standard, modular manner, expeditiously writing them, and provides greater dependability across all Windows operating systems."
53,"Chipknip (a portmanteau of chip card and scissors) is a software for personal identification and authentication. It allows users to create, sign, and send digital certificates. Chipknip also supports secure remote access using Web-based user management and identity management services.

Chipknip was founded in 2007 by CEO Zeeshan Haider, CTO Mohsin Hassan, and VP of Engineering Sameen Rafique. The company has offices in the United States, Canada, and the United Kingdom.

Chipknip's product suite includes Chipknip Server, Chipknip Client, and Chipknip SDK. The Chipknip Server is a centralized identity management server that stores user profiles, certificates, and passwords. The Chipknip Client is a desktop application that enables users to create, sign, and send digital certificates. The Chipknip SDK enables developers to build applications that interact with the Chipknip Server and Client.","Chipknip, a software-based identity management system that is similar to the combination of chip cards and scissors, was established in 2007 by CEO Zeeshan Haider, CTO Mohsin Hassan, and VP of Engineering Sameen Rafique. It offers secure remote access through Web-Based user control and identification management services, with its primary focus being on authenticating and creating digital certificates."
54,"Varioonops is a genus of goblin spiders in the family Oonopidae. It was first described in 1906 by Simon.

There are about 10 described species in Varioonops. They are found in the eastern and southeastern United States, and in Central America. Some of the species are found as far north as New Brunswick, Canada.

Varioonops is a small genus, with most of the described species measuring only 3-4 millimetres in body length. They are usually black or dark brown, but can be light or dark green or purple. They have long legs and a long, slender body.

The genus is mostly known for its peculiar spinnerets, which are composed of several hundred separate segments. These spinnerets can be moved independently of each other, allowing the spiders to create extremely fine spiderwebs.","Approximately 10 goblin spider species, known as Varioonops, are found in the eastern and southeastern United States and Central America. They can be found as far north as New Brunswick, Canada."
55,"Populism in Canada involves the phenomenon of a political movement or party that appeals to the people in contrast to the elites or establishment. Populism can be manifested in a number of ways, including using populist rhetoric and policies, promoting populist causes, and mobilizing populist support.

Populism has been on the rise in Canada in recent years, as various political movements and parties have adopted populist rhetoric and policies in an attempt to win over the public. The rise of populism in Canada has been particularly pronounced among the far right, which has seen a surge in popularity since the 2016 U.S. presidential election.

Despite its prevalence, there is little understanding of populism in Canada. This article provides an overview of populism in Canada, its history and current trends. Additionally, this article discusses the relationship between populism and democracy, as well as the implications of populism for Canadian politics.","In Canada, populism refers to a political organization or party that appeals more to the public than to elite figures or institutions. It can be expressed through various means, such as using populist policies and propaganda, advocating for populistic causes, and mobilizing support from those in minority groups."
56,"British jazz is a form of music that originated in the United Kingdom. It typically comprises jazz music with a British or Commonwealth influence, and can include elements of rhythm and blues, soul, funk, and pop.

British jazz has been influenced by a number of prominent American jazz musicians, including Dizzy Gillespie, Miles Davis, and Thelonious Monk. Some of the most well-known British jazz musicians include John Coltrane, McCoy Tyner, and Ronnie Scott.","British jazz, which originated in the UK, is a type of music that typically incorporates elements of British or Commonwealth influences and includes rhythm and blues, soul, funk, and pop. Other notable American jazz composers include Dizzy Gillespie, John Coltrane, McCoy Tyner, Paul Klein, David Letterman, Robert Johnson, Phil Collins, Bonnie Tyler, Frank Sinclair, Adam Lambert, Rod Stewart, Kristen Stewart-Edward Ward, Kate Winthrop, Jon Clive Anderson, Glendry Clarkeson, Jack Olesle, The"
57,"Frank Wakeley Gunsaulus (January 1, 1856 – January 3, 1926) was an American physician and surgeon who specialized in the treatment of tuberculosis. He was also a noted immunologist and epidemiologist.

Gunsaulus was born in Springfield, Illinois, the son of Nancy (née Wakeley) and Wakeley Gunsaulus. He received his medical training at the University of Illinois at Chicago, where he was a classmate of Albert Einstein. After completing his medical degree in 1880, Gunsaulus worked as an assistant physician at the Chicago City Hospital.

In 1885, Gunsaulus relocated to Berlin, Germany, where he served as the chief physician at the Berlin-Lichterfelde Hospital. He also served as a professor at the University of Berlin Medical School, where he became known for his work on tuberculosis.

In 1897, Gunsaulus returned to the United States and resumed his work as a physician at the Chicago City Hospital. He also served as president of the American Society for Clinical Investigation from 1911 to 1912.

Gunsaulus died in Chicago at the age of 78.","Frank Wakeley Gunsaulus, an American surgeon and immunologist who worked with tuberculosis patients, was born in Springfield, Illinois. He attended the University of Illinois at Chicago and studied medicine before becoming a doctorate student under Albert Einstein."
58,"A krama  is a sturdy traditional garment of the Indian subcontinent, made from a thick cotton fabric with a coarse texture. It is usually knee-length and gathered at the waist with a belt.","The krama, a traditional garment in the Indian subcontinent, is made from thick cotton fabric with pliable texture. It is typically shoulder-length and fastened at the hips with an elasticated belt."
59,"WFBO-LP (97.7 FM, ""Oldies 97.7 The Blizzard"") is a radio station licensed to serve the community of East Stroudsburg, Pennsylvania. The station is owned by East Stroudsburg Media Group, LLC.

WFBO-LP broadcasts a classic rock format.

WFBO-LP received its original construction permit from the Federal Communications Commission on December 16, 2004. The station was assigned the WFBO-LP call sign by the FCC on January 22, 2005. WFBO-LP began broadcasting on April 2, 2005.","Licensed radio station WFBO - LBC (97.7 FM, ""Oldies 97. 7 The Blizzard"") is owned by East Stroudsburg Media Group of Pennsylvania and broadcasts classic rock music. It was granted its first construction permit by the Federal Communications Commission on December 16, 2004, and assigned the WFMBO name to better serve the community in Weston, Pennsylvania."
60,"Edward Buck (October 6, 1814 – July 19, 1882) was an American lawyer and politician who served as the 23rd Governor of Missouri from 1871 to 1873. He also served in the United States Senate from March 4, 1863, until his death in 1882.

Buck was born in Chillicothe, Ohio, on October 6, 1814. He attended the common schools and then studied law with John S. Rollins and David Humphreys. He was admitted to the bar in 1839 and commenced practice in Chillicothe.

Buck served as a state senator from Missouri from 1854 to 1861. He served as the 23rd Governor of Missouri from 1871 to 1873. He died in Washington, D.C., on July 19, 1882.","Edward Buck, an American lawyer and politician, served as the 23rd Governor of Missouri from 1871 to 1873 and was also in the United States Senate from March 4, 1863 until his death in 1882. He attended the common schools after attending school with John S. Rollins and David Humphreys before becoming admitted to the bar."
61,"The Cauvery Wildlife Sanctuary is a protected area located in the Nadukota Wildlife Sanctuary and the Coonoor Wildlife Sanctuary, in the Nilgiris District, Tamil Nadu, India. The sanctuary is home to a large population of wild elephants and a large number of bird species.

The Cauvery Wildlife Sanctuary was established in 1982 and covers an area of . The sanctuary is located in the Nilgiris District of Tamil Nadu. It is bordered by the Nadukota Wildlife Sanctuary to the north and the Coonoor Wildlife Sanctuary to the south.

The Cauvery Wildlife Sanctuary is home to a large population of wild elephants. The sanctuary is also home to a large number of bird species, including the double-barred eagle, brown woodpecker, jungle fowl, brahminy kite, golden oriole and blue rock pigeon.","The Cauvery Wildlife Sanctuary is a protected area that is part of the Nadukota Wildlife Refuge and Coonoor Wildlife Conservation Area in Nilgiris District. Its diverse range of bird species, as well as dozens of wild elephants, are all home to the sanctuary."
62,"Igumnov House  is a historic house in the city of Leningrad, Russia. It was built in 1914-15 by the architect and sculptor Ivan Igumnov, and is considered to be one of the most significant examples of Russian Art Nouveau architecture.

The Igumnov House is located in the city's central Pushkin Square, at the junction of Gogolevsky and Lomonosov Streets. It is a two-storey building with a mansard roof and a symmetrical facade, composed of three sections: an entrance section with a large window, a central section with a smaller window, and a rear section with two windows. The facade is decorated with polychrome carving, including panels depicting stylized flowers and foliage, and a series of statuesque figures representing life's stages: birth, childhood, adolescence and adulthood.

The Igumnov House was declared an architectural monument of federal significance in 1987, and was added to the State Heritage Register of Russia in 1999. It is currently used as a museum housing the Ivan Igumnov Museum.","Ivan Igumnov designed the historic mansion known as Igonova House in Leningrad, Russia, which is one of the most significant examples of Russian Art Nouveau architecture. It is located in the central Pushkin Square area, where Gogolevsky and Lomonosov Streets intersect. The building features a two-story structure with symmetrical roofs and balconies overlooking downtown areas like Alexandre Vrij and Miroslav Zhurin."
63,"Submarine Museum  is a museum made up of exhibits on submarines and submersible vessels. The museum is situated in the city of Kiel, Germany.

The museum was founded in 1984 and has since grown to become one of the leading submarine museums in Europe. The museum has a collection of over 60 submarines and submersible vessels, including some of the world's most famous submarines such as the U-boat types VIIA and IXA as well as the Soviet-era Typhoon class submarines.

The museum offers visitors a range of exhibits, including a submarine simulator which allows visitors to experience what it is like to be on a submarine. The museum also organises regular exhibitions on different topics related to submarines and submersible vessels.","Located in Kiel, Germany, the Submarine Museum was established in 1984 and has since grown to become one of Europe's premier submarine exhibits. The museum features over 60 submarines and submersible ships, including some of the most well-known ones, such as the U-boat classes VIIA and IXA, and also the Typhoon class from the Soviet period."
64,"""Cheerleader"" is a song recorded by Jamaican reggae artist Bob Marley and the Wailers. It was released in 1978 as the third single from the album Exodus. The song was written by Bob Marley and Peter Tosh, with production by Bunny Wailer.

The song was a departure from Marley's earlier reggae compositions, which were mostly rooted in the Rastafarian movement. ""Cheerleader"" is a dancehall song that incorporates elements of ska, punk and funk into its instrumentation. The lyrics focus on the protagonist's desire to be a ""cheerleader"" for her friends, but her own insecurities keep her from achieving her goal.

""Cheerleader"" has been cited as a key influence on modern pop and dance music genres, and has been frequently covered by contemporary artists. The song peaked at number four on the UK Singles Chart and number 26 on the US ""Billboard"" Hot 100 chart. It has been certified silver by the British Phonographic Industry and gold by the Recording Industry Association of America.

In 1978, Bob Marley and the Wailers released their third album Exodus. One of the album's tracks was ""Cheerleader"". Written by Bob Marley and Peter Tosh with production by Bunny Wailer, ""Cheerleader"" is a dancehall song that incorporates elements of ska, punk and funk into its instrumentation. The lyrics focus on the protagonist's desire to be a ""cheerleader"" for","In 1978, Bob Marley and the Wailers released Cheerleader, a dancehall track that was written by Bob Marchley with Peter Tosh and produced by Bunny Wailser for the album Exodus. It was influenced by Rastafarian music and featured elements of ska infused beats."
65,"Let's Bowl is a scripted bowling game show that aired on the ABC television network from January 11, 2007 to January 8, 2009. The show was produced by 20th Century Fox Television.

The show is hosted by comedian and actor Tyler Perry and features a cast of professional bowlers who compete in themed games. The show is taped at the MGM Grand Garden Arena in Las Vegas, Nevada.

The show has been criticized for its lowbrow humor and generally poor production values. However, it has been a ratings success for ABC, consistently ranking as one of the network's top-rated programs.","20th Century Fox Television produced Let's Bowl, a scripted bowling game show that aired on ABC from January 11, 2007 to January 8, 2009, featuring professional bowlers and themed games. The series is taped at the MGM Grand Garden Arena in Las Vegas, Nevada, and has been criticized for its low-brow humor and lack of value as compared to HBO."
66,"As witnessed from the social media sector, Naveen Singh Suhag is a very talented and popular actor. He started his acting career with a small role in the Punjabi movie ""Dilwale Dulhania Le Jayenge"" (1995). The movie was a blockbuster and Naveen Singh Suhag got rave reviews for his performance. 
    He went on to act in many more movies, including ""Dilwale Dulhania Le Jayenge 2"" (1996), ""Silsila"" (1998), ""Aankhen"" (2000), and ""Dilwale"" (2015). He has also acted in television serials such as ""Kahaani Ghar Ghar Kii"" (2009), ""Saira Banu Ki Paanch Saathi"" (2010), ""Tum Hi Ho"" (2012), and ""Pee Loon"".
    He has also done voiceovers for various advertisements.
    In 2017, he was awarded the Padma Shri by the Government of India.
","Despite his small role in the popular movie ""Dilwale Dulhania Le Jayenge"" (launched in 1995), Naveen Singh Suhag is considered a highly accomplished and famous actor in today's social media. He went on to act in several other films, including ""Push Patrol"" (1999) and ""Shauna."""
67,"Transferable development rights (TDR) is a method of transferring development rights in a project from the original developer to another party. The term is most commonly used in the context of real estate development.

The purpose of TDR is to provide a way for the original developer to relinquish control of a project without having to sell the property or give up any ownership rights. This can be useful when the original developer no longer has the financial resources or interest in continuing to develop the property.

TDR can be used in a variety of different projects, including real estate, infrastructure, and software development. Typically, TDR is used when the original developer wants to focus on other projects, or when the property is not selling well.

There are a number of different methods for transferring TDRs. The most common approach is through an agreement between the original developer and the new party. Other methods include giving away ownership of the property directly, or transferring development rights through a subsidiary company.

There are several advantages to using TDRs. First, it can provide a way for the original developer to exit a project without having to give up any ownership rights. This can be helpful when the original developer no longer has the financial resources or interest in continuing to develop the project.

Second, TDR can help ensure that the new party has access to all of the necessary information about the project. This can help ensure that the project is completed as planned, and that any changes made by the new party are properly reflected in the","The transfer of construction rights to another party is referred to as transferable development rights (TDR) in real property development, where the original developer has control over the project without having to sell or take any ownership. This method can be applied in various projects depending on the developer's financial situation."
68,"John Brugman, O.F.M., was a 15th-century Franciscan friar, theologian, and composer.

John Brugman was born in the town of Lille, France in around 1380. He studied theology at the University of Paris and then joined the Franciscan order in 1400.

Brugman became a noted theologian and teacher, and served as a chaplain to King Charles VI of France. He also composed music, including motets and chansons.

Brugman died in 1448, and was canonized by the Catholic Church in 1697.","The 15th-century Franciscan friar and theologian O. F. M., born in Lille, France around 1380, became a member of the FrancisCAN order in 1400 after studying theology at the University of Paris. He also served as chaplain to King Charles VI of France and wrote music, particularly motets."
69,"Eugene Salvatore ""Gene"" DiNovi (born May 26, 1929) is an American composer, songwriter, and record producer. He has been influential in the development of rock music, and is best known as a co-founder of the Beach Boys.

Born and raised in Los Angeles, DiNovi attended Palomar Junior College before transferring to the University of California, Los Angeles (UCLA). There, he formed the rock band Johnny & The Moondogs with classmate Mike Love. After two unsuccessful singles, the group was dropped by their label and disbanded in late 1953.

DiNovi then joined the United States Air Force, where he served as a staff musician and arranger for radio shows. After his discharge in 1957, he moved to London and formed another group, the Scaffolds. The group released one single before disbanding in 1959.

Returning to Los Angeles, DiNovi became a staff writer at the new music magazine ""Sing"". He soon began working with Brian Wilson on new songs for the Beach Boys, who had just been signed to Capitol Records. The group's first album, ""Surfin' Safari"", was released in 1961 and became a success. DiNovi went on to write or co-write many of the Beach Boys' subsequent albums and singles, including their hits ""Don't Worry Baby"" (1963), ""Help Me Rhonda"" (1964), and ""Good Vibrations"" (1965). He also produced several of their albums.

In 1976,","Gene DiNovi, an American composer, lyricist, producer, and composer born in 1929, has been instrumental in the development of rock music. He is best known as a co-founder of the Beach Boys."
70,"4-Digits (abbreviation: 4-D) is a lottery in the United States. It is run by the Multi-State Lottery Association (MUSL). 4-Digits is a $2 game with drawings every Monday and Saturday.

The 4-Digits game is a $2 jackpot game that is played in the United States. Like most U.S. lotteries, 4-Digits is a fixed-odds game, with each play costing $2. There are drawings every Monday and Saturday, and the jackpot is awarded on each draw, starting at $10 million and growing by $1 million each week. The 4-Digits game was first drawn on October 9, 1988. 

4-Digits is played in all U.S. states except California, Montana, New Mexico, Oregon, and Washington. There are also 4-Digits games in Canada, Puerto Rico, the U.K., Australia, and Ireland.","The Multi - State Lottery Association runs the United States' 4 – Digits lottery, which is a fixed-up odds game with drawings that takes place on Monday and Saturday."
71,"Anglo-Saxon charters are documents from the early medieval period in England that record the arrangements between the king of England and certain groups of people, such as thegns (landholders) and freemen. They are seen as important sources of historical information about early medieval English society and economy.

Anglo-Saxon charters were written in Old English, the earliest form of the English language. They were generally created to enable people to exchange goods and services, or to confirm an agreement. The earliest known Anglo-Saxon charter is from the year 896, and the most recent is from 1236.

There are around 1,500 Anglo-Saxon charters in existence, and they provide a valuable insight into early medieval English society and economy. They are particularly useful for studying the relationship between the king and the different groups of people in early medieval England, as well as the ways in which economic activity was organised.","The Anglo - Saxon charters, which are papers from England's early medieval period, provide crucial historical information about early Medieval English culture and economy. They were typically written in Old English to facilitate citizen exchange of goods and services or to confirm an agreement."
72,"Lieutenant General William Pelham Yarborough (May 12, 1893 – May 15, 1956) was a senior United States Army officer who served as Deputy Chief of Staff for Operations (G-3), from 1945 until his death.

Yarborough was born in 1893 in Lawrence, Kansas. He attended the United States Military Academy, where he played football and graduated in 1917. He served in France during World War I and was wounded in action. After returning to the United States, he served with the 1st Cavalry Division in Mexico during the Pancho Villa Expedition of 1922.

After serving with the 7th Infantry Division at Fort Lewis, Washington, Yarborough was transferred to the staff of the II Corps in England in 1938. He was promoted to colonel in 1939 and brigadier general in 1942. He served as deputy commander of the II Corps during the Allied invasion of Normandy in June 1944 and later commanded the VII Corps during Operation Overlord.

After the war, Yarborough served as deputy director of training and doctrine at Army General Headquarters before being appointed Deputy Chief of Staff for Operations (G-3) in 1945. He retired from the Army on February 28, 1947.

Yarborough died on May 15, 1956, at Walter Reed Army Medical Center after a long illness. He is buried at Arlington National Cemetery.","Lieutenant General William Pelham Yarborough, who was born in Lawrence, Kansas and graduated from the US Military Academy in 1917, served as a member of the United States Army during World War I and later worked with the 1st Air Wing until his death."
73,"The Château de Kaysersberg (also: Schlossberg) is a castle in the municipality of Kaysersberg, in the district of Hochtaunuskreis, in Baden-Württemberg, southern Germany.

The castle was first mentioned in a deed from 1157. The present building dates back to the 15th century. It was built by the counts of Kyburg and became their main residence. The Kyburg family retained ownership until the early 18th century. In 1732 it came into the possession of Prince Eugene of Savoy, who later sold it to the duke of Württemberg.

Today, the castle is a popular tourist destination, with a range of tours and activities available.","In Baden-Württemberg's Hochtaunuskreis district, the Château de Kaysersberg (also known as Schlossberg) was established in the 15th century and became the primary residence of the counts of Kyburg. Until 1732, it passed into ownership by Prince Eugene of Gosling right after its initial seizure in 1234."
74,"Vaclav Smil (; born 9 December 1943) is a Czechoslovak physicist and philosopher. He is a professor at the Charles University in Prague, where he is also a member of the Czech Academy of Sciences.

Smil was born in 1943 in Prague, Czechoslovakia. After graduating from secondary school in 1961, Smil studied physics at Charles University, where he obtained his doctorate in 1968. From 1968 to 1974 he worked as a research scientist at the Institute of Physics of the Czech Academy of Sciences. In 1974 he became a professor at Charles University, where he remained until his retirement in 2009.

Smil's research focuses on physical and philosophical aspects of science and technology. He has written extensively on topics such as the history of science, the philosophy of science, cosmology, thermodynamics, information theory, and artificial intelligence. His work has been published in journals such as ""Nature"", ""Scientific American"", ""The New York Times"", and ""The Guardian"".

Smil was awarded the prestigious Pravda Prize in 1998 and the Kyoto Prize in 2008. In 2009 he was chosen as one of the 100 most important people in Europe by European Business Review.","Czechoslovakian physicist and philosopher Vaclav Smil (born 9 December 1943) is a professor at Charles University Prague, where he is also Mitglied of the Czech Academy of Sciences."
75,"Lameia (minor planet designation: 248 Lameia) is a small, dark, distant minor planet orbiting the Sun. It was discovered by German astronomer Max Wolf on October 1, 1878. Lameia is a member of the Kuiper belt and has an estimated diameter of about 23 kilometers.","The Kuiper belt's Lameia, a small and dark planet located about 23 kilometers from the Sun, was discovered by German astronomer Max Wolf on October 1, 1878."
76,"The Brno chair (model number MR50) is a modern office chair designed by the Danish furniture company Arne Jacobsen. It was first introduced in 1958 and was one of the first ergonomic chairs. The Brno chair is designed to reduce fatigue and stress in the spine by tilting the back and seat and providing a range of adjustments. The chair is also adjustable to three different heights, making it suitable for people of different heights.","Designed by Arne Jacobsen, the Brno chair (MR50) is a modern and ergonomic office chair that reduces stress and tension in the spine. It features rocking back and seat adjustments to accommodate different heights."
77,"Innti was an Irish language poetry movement, founded in the early twentieth century. The term is derived from the Irish word ""inniti"", meaning ""to begin"". 

The Innti movement was founded in the early twentieth century by a group of poets who sought to revive and modernise the Irish language poetry tradition. The poets in the Innti movement emphasised the use of traditional forms and metre, and sought to return to the poet's traditional role as a messenger of culture and history. The Innti movement has had a significant impact on Irish poetry, and has been credited with helping to revive the Irish language as a spoken language.","Innti, a group of poets founded in the early twentieth century, sought to revive and modernize the Irish language poetry tradition by emphasizing the use of traditional shapes and metre."
78,"Hakea longiflora is a small shrub in the family Proteaceae, endemic to the south-west of Western Australia.

The species is known by a variety of names including ""bush hakea"", ""long-flowering bush hakea"" and ""bush honeyeater"". It grows to around 1.5 metres in height and has hairy, glandular leaves and white or pink flowers. The fruit is a woody capsule.

Hakea longiflora is found in the south-west of Western Australia, mainly in the Wheatbelt, Great Southern and Goldfields-Esperance regions. It grows in sandy soils over laterite or granite.","Hakea longiflora, a small shrub with hairy glandular leaves and white or pink flowers, is found in the south of Western Australia. It is also known as bush hakea for its short spreading habit and the name ""shuck eater"", as well as ""sweet snap"" for her broadside location."
79,"Roann Historic District is a national historic district in the town of Roann in Hamilton County, Ohio. The district encompasses 137 contributing buildings and 1 contributing site in the central business district of Roann, dating from the late 19th century to the early 20th century. It is a mainly commercial and institutional district, with notable examples of Queen Anne, Colonial Revival, and Bungalow/Craftsman style architecture.

The Roann Historic District was listed on the National Register of Historic Places in 1992.","The Roann Historic District, situated in Hamilton County, Ohio, is a historic district that includes 137 houses and 1 site. It is home to commercial and institutional structures, including Queen Anne, Colonial Revival, and Bungalow/ Craftsman style architecture, dating back to the mid-19th century and early 20th Century."
80,"Analytical psychology (, sometimes translated as analytic philosophy) is a branch of psychology that takes a cognitive-behavioral approach to understanding human behavior. It is a relatively recent development in psychology, dating back only to the early 20th century.

Analytical psychology is characterized by its focus on understanding the individual mind and behavior, as opposed to the traditional focus on group behavior and whole person analysis. It has been described as ""theoretical psychology with a microscope"" because its practitioners are often interested in studying the smallest details of mental processes.

Analytical psychologists often use mathematical modeling and computer simulation to explore how individual thoughts and behaviors can produce outcomes. They are also known for their focus on self-awareness and the ability of the mind to process information.","The cognitive-behavioral approach to assessing human behavior is known as analytical philosophy, a new branch of psychology that emerged in the early 1900s. Its main focus was on comprehending individual thoughts and actions, rather than relying on group behavior or assessment of observable aspects of individuals."
81,"Nick Albertson (born 1983, Boston, MA) is an American artist and musician. He is the founder, vocalist, and sole member of the band Nick Albertson and the Low Sea Lions.

Albertson was born in Boston, Massachusetts, in 1983. He began his musical career as the frontman and only member of the band Nick Albertson and the Low Sea Lions. The band's debut album, ""The Mercury"", was released in 2006 via Barsuk Records. The album was praised by Pitchfork Media for its ""raw, idiosyncratic folk-pop"" sound, and received comparisons to Fleet Foxes and The National.

Albertson has since released two more albums with the Low Sea Lions: ""Good News for People Who Love Bad News"" (2009) and ""Songs for a Wasteland Year"" (2011). He has also released two solo albums: ""Strange Weather"" (2010) and ""The Unseen"" (2013).","The founder, vocalist and only member of the group Nick Albertson and the Low Sea Lions is an American artist and musician."
82,"""The Eddie"" is a big wave surfing event that takes place in the North Shore of Oahu, Hawaii. The event is organized by the North Shore Surf Club and has been taking place since 1966. The Eddie features a variety of big wave surfing disciplines, including Mavericks, Backdoor, and tubes. In recent years, the event has also featured a contest to see who can ride the biggest wave.","Since 1966, the North Shore Surf Club has been organizing a large wave surfing competition called ""The Eddie,"" which showcases various surfing disciplines such as Mavericks, Backdoor, and tubes. The event also featured skeleton races and trophies for the top three competitors in previous years."
