Unnamed: 0,original text,EYK-Watermarked_And_Paraphrased
80,"Analytical philosophy ( , sometimes translated as analytic philosophy ) is a branch of psychology that takes a cognitive - behavioral perspective to understanding human behavior . It is a fairly new innovation in psychology , dating back only to the early nineteenth decade . Analytical philosophy is characterized by its focus on understanding the individual mind and actions , as opposed to the usual focus on group behavior and whole person assessment . It has been described as "" theory psychology with a microscope "" because its practitioners are often interested in examining the smallest details of psychological processes .Analytical psychologists usually use numerical modeling and computer simulation to examine how individual feelings and behaviors can generate outcomes . They are also known for their focus on self - awareness and the ability of the mind to process information .","The field of analytic philosophy, or analysis of human behavior in psychology, was created in the early 1800s. It is a branch of psychology that emphasizes understanding the individual mind and actions, rather than group behavior and assessment of the whole person. This approach has earned it the nickname "" theory psychology with ice "" because its practitioners are often interested in exploring the smallest details of psychological processes."
81,"Nick Albertson ( born 1983 , Boston , MA ) is an American artist and musician . He is the founder , vocalist , and sole member of the group Nick Albertson and the Low Sea Lions . Albertson was born in Boston , Massachusetts , in 1983 . He began his musical career as the frontman and only member of the group Nick Albertson and the Low Sea Lions . The band ' s debut album , "" The Mercury "" , was released in 2006 via Barsuk Records . The album was cited by Pitchfork Media for its "" raw , idiosyncratic folk - pop "" sound , and received comparisons to Fleet Foxes and The National .Albertson has since released two more releases with the Low Sea Lions : "" Good News for People Who Love Bad News "" ( 2009 ) and "" Songs for a Wasteland Year "" ( 2011 ) . He has additionally released two solo recordings : "" Strange Weather "" ( 2010 ) and "" The Unseen "" ( 2013 ) .","The Low Sea Lions' debut album, ""The Mercury,"" was released by Barsuk Records in 2006, and they are led by Nick Albertson, an American artist, singer, songwriter, founder of Sonic Youth."
82,""" The Eddie "" is a huge wave surfing event that takes held in the North Shore of Oahu , Hawaii . The event is organized by the North Shore Surf Club and has been took place since 1966 . The Eddie contains a variety of large wave surfing disciplines , notably Mavericks , Backdoor , and tubes . In recent years , the competition has also featured a competition to see who can ride the biggest wave .","A competition to determine who can ride the biggest wave has been held at The Eddie, a large wave surfing event organized by the North Shore Surf Club and hosted since 1966. The contest involves varying types of big wave sports, such as Mavericks, Backdoor, and tubes."
83,"Constant - voltage speaker devices describe to systems of loudspeakers where the power supply is holding at a constantvoltage . This eliminates the necessity for a power amplifier , as the loudspeakers are always driven by the same voltage . Constant - voltage speaker devices offer several advantages over traditional power amplifiers . First , they are less likely to suffer from "" sag "" or "" pumping "" in the audio signal , as the power supply is holding constant . Second , they can be more efficient , as the power amplifier is not required to work at peak performance all the time . Finally , they can be more closely regulated , as there is no require for multiple power amplifiers or switches to vary the power to different speakers .Constant - voltage speaker devices have been used in a variety of applications , notably home theater and audio playback . They are growing more popular due to their efficiency and strict control","The use of constant-voltage speaker systems eliminates the need for power amplifiers, as they are always powered by the same voltage. This has several advantages over traditional power amps including reduced sag and pumping in the audio signal, and greater efficiency with a constant power supply."
84,"Bruce Mather ( born May 9 , 1939 ) is an American author and reporter . Bruce Mather was born in 1939 in Newark , New Jersey . He attended Rutgers University , where he obtained his B . A . in 1961 . He then attended the Columbia University School of Journalism , where he obtained his M . A . in 1965 .Mather began his journalism career at the Newark Star - Ledger in 1962 . He subsequently joined the Associated Press as a reporter in Newark , and then acted as a bureau chief in Syracuse , New York , and Atlanta , Georgia . Mather is the writer of several books , notably The Flight of the Sparrow ( 1985 ) , a biography of John F . Kennedy ; The Good Soldier ( 1986 ) , a book about World War I ; and The Path Between the Seas ( 1990 ) , about the Transatlantic slave trade . He has additionally written essays for numerous journals and newspapers , notably The New York Times , The Washington Post , and Harper ’ s Magazine .Mather has been given several awards for his journalism work , including the George Polk Award for excellence in journalism , the Overseas Press Club Award for best reporting from overseas , and the National Headliner Award for news reporting . In 2003 , he was honored into the Broadcasting Hall of Fame by the National Association of Broadcasters . Mather currently living in Washington , D . C . , with his wife , Pamela Harriman Mather .","Bruce Mather, an American author and reporter born in Newark, New Jersey on May 9, 1939, attended Rutgers University where he received his B.A. in 1961 before moving to Columbia University School of Journalism for another year. He began his journalism career at the New York Times-Ledger newspaper in 1962 and worked as a reporter for the Associated Press."
85,"Grandy Glaze ( born March 4 , 1992 ) is an American singer and songwriter . She is the lead vocalist and songwriter of the group Grandy . Grandy Glaze was born in 1992 in Houston , Texas . She is the lead vocalist and songwriter of the group Grandy . In early 2013 , Glaze signed a record deal with Big Machine Records .The band ' s self - titled first album was released on April 6 , 2013 .","An American singer and songwriter, Grandy Glaze (born March 4th, 1992) is the lead vocalist and writer of the band. She was recruited by Big Machine Records in early 2013 and released their self-titled first album in late 2013."
86,"Yaron Tsur ( ( ; born June 19 , 1948 ) , is an Israeli painter and artist . Born in Tel Aviv , Tsur is better known for his sculptures and installations , which frequently explore the relationship between person and nature . His work has been displayed in cities around the world , notably New York , Berlin , Paris , London , Vienna , and Istanbul .In 2006 , he was given the Israel Prize for his achievements to Israeli artwork .","Yaron Tsur, an Israeli painter and artist born in Tel Aviv on June 19, 1948, is renowned for his sculptures and installations that explore the interplay between art and nature. His artwork has been exhibited in various cities worldwide, including New York, Berlin, Paris, London, Vienna, and Istanbul. He was also awarded the Israel Prize in 2006 for its contributions to Israeli artistic endeavors."
87,"Tenedos ( , Tenedhos , ) , or Bozcaada in Turkish , is an Aegean island in Turkey . Administratively it is part of the province of Antalya . The island is located about halfway between the Greek mainland and Crete , southeast of Antalya and about north of the town of Bodrum . With a surface area of , it has a population of 2 , 000 people . The town Tenedos , which lies on the north coast , has a population of 1 , 000 people .The only inhabited locality on the island is the village of Bozcaada ( inhabitants 150 ) , which sits on the west coast . The Aegean Sea sits to the south and west , and to the west is the Gulf of Gökçeada . The island ' s nickname derives from its ancient residents , the Tenedoi . Homer refers to them as one of the tribes inhabiting Dodona in The Iliad . The Tenedoi were later incorporated by the Mycenaean Greeks .Tenedos was settled by Mycenaean Greeks in the early 2nd millennium BC and was ruled by various dynasties throughout its history . It remained part of the Roman Empire in 30 BC , and then part of the Byzantine Empire until it was annexed by the Ottoman Empire in 1453 . From 1878 until 1914 it was a French possession known as Isla de Tenedos . During World War I , it served as a base for","Tenedos, also known as Bozcaada in Turkish, is an Aegean island located in Turkey. It is situated between the Greek mainland and Crete, southeast of Antalya, and north of Bodrum. The island has a population of 2 million people and stretches across its land area."
88,"Toby Sedgwick ( born 16 August 1958 ) is an English actor . Sedgwick began his acting career in the early 1980s , appearing in several television productions and minor roles in feature films . He achieved critical success for his performance in the leading role of Andrew Gower in the BBC television drama series Cranford ( 1999 – 2001 ) . Sedgwick has since appeared in a number of critically acclaimed films , including The Illusionist ( 2006 ) , The Best Exotic Marigold Hotel ( 2011 ) , and Loving ( 2013 ) . Sedgwick was born in Liverpool , England , the son of actress Maureen Lipman and actor - director John Sedgwick . He has an older sister , actress Sally Ann Sedgwick . He was educated at the Webber Douglas Academy of Dramatic Art , where he graduated with a BFA in 1982 .Sedgwick started his acted career in the early 1980s , appearing in multiple television productions and minor roles in feature films . In 1999 , he acted as Andrew Gower in the BBC television drama sitcom Cranford . The series gained critical acclaim and Sedgwick was nominated for a British Academy Television Award for Best Actor . He followed this success with performances in the features The Libertine ( 2004 ) , Deception ( 2006 ) , and The Illusionist ( 2006 ) , all of which were meeting with critical acclaim . Sedgwick currently stars as Lord Byron in Lifetime ' s historical thriller programme The Young Victoria ( 2015 ) .","Born on 16 August 1958, Toby Sedgwick is an English actor who began his acting career in the early 1980s and gained recognition for his portrayal of Andrew Gower in Cranford. He has since starred in several critically acclaimed films including The Illusionist, The Best Exotic Marigold Hotel, and Loreal among others."
89,"The Catharpin Creek Formation is a Late Cretaceous geologic formation in Virginia . It preserves fossils dated back to the Campanian phase of the Late Cretaceous Period . The Catharpin Creek Formation was first discovered in 1902 by T . M . Dickey , and named for the river that it was found near . The Catharpin Creek Formation is composed of sand , silt , and clay , and is typically light - colored and finely divided .It contains a variety of fossils , notably dinosaurs , turtles , and birds .","The Catharpin Creek Formation, a geologic formation in Virginia during the Late Cretaceous period, is home to fossils dating back to the Campanian phase. It was first discovered by T. M. Dickey in 1902 and is made up of sand, silt, and clay that are light-colored and finely divided, with varying levels of sedimentation."
90,"The German Clock Museum is situated in the town of Nuremberg , in the state of Bavaria . The museum was founded in 1928 and has since then accumulated an extensive collection of watches , watches and other timepieces from all over Europe . The German Clock Museum is one of the earliest and largest collections of watches in the world . The museum has a especially emphasis on German clocks , which are some of the most renowned in the world . The collection contains examples from all phases of clockmaking , from early mechanical watches to modern digital timepieces .The German Clock Museum is open to the public every week except Christmas Day . Admission is free , and the museum is wheelchair available .","The German Clock Museum, located in Nuremberg in Bavaria, was founded in 1928 and has since amassed a vast collection of watches, watches.exes from all over Europe, with accoutumns to German clocks being among the world's earliest and most extensive collections.The museum contains examples from every phase of clockmaking, including early mechanical watches and modern digital timepieces."
91,"Space Engine Systems Inc . ( SES ) is a Canadian software development corporation established in 2014 by a team of engineers with experience in the gaming business . The corporation specializes in building high - quality , cut - edge space simulation technology for video game platforms . SES ' flagship product , Space Engine , is a space simulator that enables users to study the universe from any point of view , and enable them to create and share their own space missions . Space Engine also contains software for producing and sharing 3D models of planets and moons , as well as spacecraft .SES is currently working on two new products : a space battle simulator called War in Space , and a multiplayer space trading game titled Star Citizen .","SES, a Canadian software development company, was founded in 2014 by seasoned engineers in the gaming industry. They specialize in creating high-quality space simulation technology for video game platforms. Their flagship product, Space Engine, is designed to provide users with an interactive experience and allows them to create and share their own space missions."
92,"Willie King ( March 18 , 1943 – March 27 , 1988 ) was an American blues and soul singer , songwriter and guitarist . He is best known for his collaborations with Muddy Waters and Willie Dixon , as well as for his work with the Chicago blues scene of the late 1960s and early 1970s . King was born in Memphis , Tennessee , United States , in 1943 . He began playing guitar at a young age , and his early influences included B . B . King and Muddy Waters . In the early 1960s , he moved to Chicago to join the city ' s blues scene , where he worked with such influential musicians as Dixon , Little Walter , Buddy Guy and Junior Wells . His recordings with these musicians were influential on subsequent blues performers . In the mid - 1970s , King moved to France to take a break from music but returned to release several albums in the 1980s . He died of liver cancer in 1988 .King has been cited as an important influence on contemporaries such as Eric Clapton and Stevie Ray Vaughan . He has been inducted into the Blues Foundation Hall of Fame and the Rock and Roll Hall of Fame , and has been given several Grammy Awards .","American born Willie King (March 18, 1943 – March 27, 1988), was an American blues and soul singer, songwriter and guitarist who is best known for his collaborations with Muddy Waters on the sideline and with Willy Dixon in the Chicago bluegrass scene of the late 1960s/early 1970s. He began playing guitar at a young age and was heavily influenced by artists such as B. B"
93,"The Betsy Ross House is a landmark building in Philadelphia , Pennsylvania , United States . It is a three - story yellow brick structure with a black wooden facade and cupola , erected in 1752 by Betsy Ross as a workshop for the production of American flags . The structure was added to the National Register of Historic Places in 1972 . The Betsy Ross House is one of the few remaining buildings identified with the American Revolution and one of the few remaining buildings from the early days of Philadelphia . It is also one of the few remaining buildings from the 18th century in Philadelphia . The house is open to visitors Tuesday through Saturday from 9am to 4pm , and shut on Sundays and Mondays .The mansion is now used as a gallery showing relics from the life of Betsy Ross , notably her flag , which is regarded to be the first American flag . The flag has been displayed at numerous global gatherings and has been depicted on postage stamps and other media .","In 1752, Betsy Ross built a three-story yellow brick building in Philadelphia, Pennsylvania, that was once occupied by migrant laborers who worked as remuneration for the American Revolution. The building was later listed on the National Register of Historic Places in 1972 and is now considered one of the few remaining buildings from the early days of Philadelphia's history; it features ten acres of private land and five acres (2,500 ha) of parkland."
94,"Bobby Ray Murcer ( May 20 , 1946 – November 10 , 2002 ) was an American professional baseball player . He played his entire 19 - year career as a catcher for the New York Mets , and was a three - time All - Star . He finished his career with a . 285 batting average and 2 , 728 singles . Murcer was born in Fort Worth , Texas . He attended low school at Fort Worth Christian School , where he played varsity baseball . Murcer then attended Southern Methodist University , where he played college baseball for the SMU Mustangs .Murcer was selected by the Mets in the first round of the 1967 amateur draft . He made his major league debut with the Mets on April 8 , 1973 . In 1976 , he led the National League in hitting ( 214 ) . In 1978 , Murcer won his second Gold Glove Award . In 1979 , he becoming the first player in major league history to hit 30 home runs and steal 30 bases in one season . Murcer also won two Silver Slugger Awards and two World Series rings with the Mets ( 1974 and 1986 ) . Murcer retired from baseball after the 1999 season . He subsequently becoming a sportscaster for WCBS - TV in New York City .Murcer died of a heart attack at age 60 on November 10 , 2002 .","A native of Fort Worth, Texas, Bobby Ray Murcer played his first professional baseball game in 1946. He played for the New York Mets and went on to achieve a 19-year stint as an all-star catcher."
95,"The plain - mantled tit - spinetail ( Leptasthenura aegithaloides ) is a species of bird in the family Furnariidae . The plain - mantled tit - spinetail is a species of bird in the family Furnariidae . It is found in Bolivia , Brazil , Colombia , Ecuador , Peru , and Venezuela .Its natural habitats are subtropical or tropical moist lowland forest and heavily degraded former forest .","The Furnariidae family includes the Leptasthenura aegithaloides, or plain-mantled tit- spinetail bird. Its natural habitat is subtropical or tropical moist lowland forest and heavily degraded vegetation in Venezuela."
96,"Dnestr radar and Dnepr radar , or simply radar , are two forms of radars used for navigation and army purposes . A radar is an apparatus that using radio waves to predict the range , direction , and altitude of items . The development of radars commenced in the early 20th century with the first successful experiments by British scientist Arthur Schuster . Radar was first employed in combat during World War II , primarily on battlefields to locate aircraft , balloons and missiles . Since then , radar has become a key tool in navigation and air traffic control . It is also used for industrial functions , such as monitoring pipeline gauges .Today , both military and army radar operators using a variety of different technical systems . These systems use different frequencies and waveforms to create a picture or representation of the target .","The Dnestr and Dhnepr radar, two types of radars, were created to serve the needs of navigation and army applications. They use radio waves to forecast the range, direction, and altitude of objects. Radar was first used in combat during World War II by Arthur Schuster, a British scientist. Since then, radar has become incredibly important in military technology, particularly in pinpointing aircraft and missiles."
97,"The Northwestern Mari ( self definition : [UNK] - [UNK] маре , Yotnim umel - kele mere ) are an indigenous people of the Russian Far East . They are concentrated in the Mari El Republic , a federal subject of Russia . The Northwestern Mari are classified as an Eskimo - Aleut people . They talk the Northwestern Mari language , which belongs to the Uralic family . The Northwestern Mari are considered to have descended from the ancient Sino - Tibetan people .The Northwestern Mari live in small communities near the coast . They are typically subsistence hunters and fishermen , but also grow crops and grow reindeer . The Northwestern Mari have a traditional culture that is based on animism and shamanism .","A native of the Russian Far East, they are concentrated in the Mari El Republic, a federal subject of Russia. They are classified as an Eskimo - Aleut people and speak the Northwestern Mari language, which belongs to the Uralic family. The Northwestern Mariners are believed to have descended from the ancient Sino – Tibetan people."
98,"Major General Sir Thomas William Glasgow Thomas William Glasgow , ( 25 October 1792 – 26 March 1868 ) was a senior British Army officer who fought in the Napoleonic Wars and in the Crimean War . He subsequently becoming General Officer Commanding the British Armies in India . Glasgow was born at sea on 25 October 1792 , the younger brother of Thomas Glasgow , captain of the brigantine "" Charlotte Dundas "" , and his wife , Elizabeth ( née Kennedy ) . He was educated at Harrow School and the Royal Military Academy , Woolwich .He fought with distinction in the Peninsular War , where he was wounded at the Battle of Busaco and at the Battle of Vimeiro . He subsequently served as Assistant Adjutant - General to Sir Arthur Wellesley , 1st Duke of Wellington . After Wellesley ' s death in 1822 , he replaced him as Commander - in - Chief of the British Army in Portugal . In 1826 he was elected Colonel of the 2nd Regiment of Foot , and two years subsequently he becoming a Major - General . In 1830 he was nominated Governor of Ceylon , where he successfully resisted an attempt by the Dutch to re - create their former colony . He returned to England in 1834 and became Inspector General of Infantry .In 1840 he was nominated Lieutenant - General and commander in chief of the Forces in Ireland . In 1846 he becoming General Officer Commanding the British Armies in India and holding this post until","Thomas William Glasgow, a senior British Army officer, was born in 1792. He served as the captain of the Royal Navy and later became the Commander-in-chief of both the British Armies in India. His military career included serving in the Napoleonic Wars and the Crimean War before becoming renowned."
99,"The FM Towns Marty is a fifth - generation Famicom game console released in Japan on October 26 , 1988 . It is a handheld console with no buttons on the front , and features a joystick to affect movement and direction . The Marty has a built - in speaker that plays Famicom games directly from the cartridge , and features a built - in light gun for shooting enemies . The FM Towns Marty was one of the earliest handheld game computers , and its design was influential on early handheld consoles such as the Game Boy and the Nintendo DS .The Marty was withdrawn in 1992 , but was rereleased in 2006 as a part of the 3DS Virtual Console service .","Japan saw the launch of the FM Towns Marty, a handheld Famicom game console from 1988. It was designed to be portable and featured graphical controls such as directional display, built-in speakers, and specialized lighting equipment."
100,"Geneviève - Aimé - Zoë Prévost ( 15 April 1802 , Paris – 12 September 1863 , Paris ) was a French painter and writer . Geneviève - Aimé - Zoë Prévost was born on 15 April 1802 in Paris . She was the son of Aimé Prévost , a celebrated French dramatist , and Zoë Arago , a noted feminist writer .Prévost began her artistic professional as an cartoonist and caricaturist . In 1829 , she published her first book , a book of children ' s sketches titled "" Les Aventures de Toto "" . In 1835 , she published her first novel , "" L ' Éducation sentimentale "" . Prévost ' s prominence as an artist rose rapidly in the 1840s . She becoming one of the foremost exponents of Romantic painting in France . Her most famous works from this era comprise "" La Joconde "" ( 1840 ) , "" Napoléon Ier enfermé à Saint - Helena "" ( 1843 ) , and "" Les Deux Magots "" ( 1875 ) .Prévost also became notable for her poems . Her best - famous works from this era comprise the poetry book "" Le Coeur sur la principal "" ( 1848 ) and the book "" La Mare du dessus aux flots "" ( 1856 ) . Geneviève - Aimée - Zoë Prévost died on 12 September 1863 in Paris .","Aimé Prévost, a French painter and writer, was born in Paris on April 15, 1802. She was the daughter of famous dramatists Aimee and Zo Arago. Prior to her artistic career, Préré was involved in cartooning and caricaturing, while his mother later became known as Zoé Régnêt (also known locally as Geneviève) on November 19, 1826."
101,"A secretory protein is any protein , whether made by a cell or produced in the bodies , that is secreted from the cell into the extracellular space . This encompasses enzymes that are released from neurons in reaction to an external stimulus , such as activation of a signaling pathway , or proteins that are produced by cells on demand . Secretory proteins can be categorized according to their mode of secretion , which can be exocytosis , endocytosis , or both .","Any protein that is secreted from a cell or produced by cellular bodies and secreting into the extracellular space can be classified as sex-secretory proteins, which may include enzymes released from neurons in response to an external stimulus or proteins produced on demand by cells."
102,"The Horrorist was an occult and horror - themed comics anthology periodical publication by DC Comics from 1978 to 1983 . It was a spin - off of The Terror , which had been publication by the company from 1974 to 1978 . The Horrorist was initially conceived as a supplement to The Terror , comprising longer stories and more extensive coverage of horror - related comics content than the standard comic book . However , it soon surpassed The Terror in both scope and popularity , leading to its own series and eventually becoming an independent comic book publisher in its own right .The Horrorist played an important role in popularizing occult and horror comics , particularly among mainstream American viewers . It featured comics by such well - famous authors as Steve Niles , Alan Moore , and Robert Kirkman , as well as lesser - famous contributors who would go on to become prominent names in the field . Despite its success , The Horrorist was short - lived ; it ceased published with issue # 75 in 1983 .Its impact can be saw in such contemporary comics anthologies as Dark Horse Presents and Vertigo Crime .","The Horrorist, a comics anthology featuring occult and horror themes, was published by DC Comics from 1978 to 1983. It was conceived as supplementary material to The Terror and had more extensive coverage of horror-related topics than the regular comic books. However, it quickly expanded in scope and popularity, leading to its own series and subsequent success with readers."
103,"Colossal is an American indie rock band from Los Angeles , California . Formed in 2009 , the band consists of vocalist / guitarist Austin Carlile , drummer Brian Cook , bassist Drew Brown , and synths player Justin Broadrick . Colossal ' s debut album "" Do You Feel "" , was released on April 5th , 2013 . The band has toured extensively in support of the album , including a headlining tour for the North American leg of the "" Do You Feel "" tour with Title Fight and The Bronx . In October of 2016 , it was announced that Colossal had signed to Razor & Tie Records and were working on their second album . Colossal formed in 2009 in Los Angeles by vocalist / guitarist Austin Carlile , drummer Brian Cook , bassist Drew Brown , and synth player Justin Broadrick . The band released their debut album "" Do You Feel "" on April 5th , 2013 . The album was produced by Broadrick and recorded at his studio in Richmond , VA . The album was well - received by music critics and garnered the band a large following .In October of 2016 it was announced that Colossal had signed to Razor & Tie Records and were working on their second album .","Colossal, an indie rock band from Los Angeles, California, formed in 2009 and is made up of vocalist/guitarist Austin Carlile, drummer Brian Cook, bassist Drew Brown, and synths player Justin Broadrick. Their debut album ""Do You Feel"" was released on April 5th, 2013 and has been featured on numerous international tours."
104,"is a Japanese 2004 teen drama film directed by Shingo Natsume , who also wrote the screenplay . The film is about four girls who join a private school for girls and become active in a battle club .The film was commercially profitable in Japan , grossing over ¥500 million domestically . It won the Yokohama Film Festival Prize for Best Screenplay and the Tokyo International Film Festival Award for Best Screenplay . "" Swing Girls "" has been praised by reviewers as an enjoyable and entertaining film , with its light - hearted and sometimes humorous mood .The film has additionally been noted for its strong female characters and its depiction of adolescent life .","Shingo Natsume directed the Yokohama Film Festival Prize for Best Screenplay and the Tokyo International Film Award for best screenplay for ""Swing Girls,"" a Japanese teen drama film set in 2004, which showcases four girls who attend specialized school and become active members of 'fight or flight' clubs. The movie was highly commercial in Japan and earned over 500 million in domestic theater worldwide. It has also been praised by critics for its entertaining and enjoyable feel, with its lighthearted tone and suspenseful productions that make it on stage shows off Broadway Broadway (2002–"
105,"Doctor Dream Records is an independent record imprint located in the United Kingdom . Founded in 2006 , the label has published songs by musicians such as The Balconies , The Wedding Present , and The Twilight Sad .","The Balconies, The Wedding Present, and The Twilight Sad are among the artists featured on Doctor Dream Records, an independent record label founded in 2006 in the United Kingdom."
106,"The Redspotted Hawkfish ( Amblycirrhitus pinos ) is a hawkfish of the family Amblycirrhitidae . It is found in the Indo - Pacific region , from the Red Sea and East Africa to Polynesia and the Philippines . The Redspotted Hawkfish is a medium - sized hawkfish with a slender head . It has a long , pointed snout , and a pair of large eyes set high on its head . The body is light yellow or green with red patches on its skin .The hawkfish feeds on small fish and squid .","A medium-sized hawkfish with a long, pointed snout and large eyes on the head is found in the Indo-Pacific region. It belongs to the Amblycirrhitidae family and has been recorded to live in regions near the Red Sea off East Africa and Polynesia and the Philippines."
107,"Teliphasa spinosa is a species of moth of the family Tortricidae . It is found in most of Europe , except for the Baltic area and the Mediterranean islands . The habitat consists of deciduous and mixed forests , where it is found at altitudes from sea level to 1 , 200 metres . The wingspan is about 20 mm . The moth flies from June to August depending on the location .The larvae feed on "" Quercus "" species .","A moth species called Teliphasa spinos, belonging to the Torcidae family, can be found in most European regions, except for the Baltic area and the Mediterranean islands. It resides in deciduous and mixed forests, inhabiting areas where it ranges from sea level to 200 meters. The mot's migration pattern is seasonal, and its larvae consume Quercus species."
108,"Micki Grant ( born Minnie Louise Perkins , June 10 , 1960 ) is an American country singer and songwriter . Signed to Atlantic Records in the early 1990s , she achieved her first major success with the release of her debut album in 1993 . Her second album , 1995 ' s Life on a Rock Star , produced her first number one single on the U . S . country charts , "" I Believe in a Thing Called Love "" . Grant has since released five more albums and has sold over six million records . She has also charted 14 singles on the U . S . country charts , including six number ones . In 2000 , she was nominated for a Grammy Award for Best Female Country Vocal Performance for the song "" Love Somebody "" . Micki Grant was born Minnie Louise Perkins on June 10 , 1960 , in Jacksonville , Florida . She was raised by her mother and stepfather in Louisiana and graduated from LSU in 1982 with a degree in music education . After teaching school for two years , Grant moved to Nashville to pursue a music career .Grant signed with Atlantic Records in the early 1990s and published her debut album that year . The album produced her first major hit song , "" I Believe in a Thing Called Love "" . The track reached number one on the U . S . country charts and became a major crossover success on the pop charts as well ; it got triple platinum in the United States and won Grant a Grammy Award for Best Female Country Vocal Performance . The follow - up hits "" Pictures of You "" and "" The","Micki Grant, an American country singer and songwriter born Minnie Louise Perkins in 1960, became famous after signing with Atlantic Records in the early 1990s. Her debut album was released in 1993. In 1995, she released her second album, Life on a Rock Star, which featured her first number one single on the U.S. country charts, "" I Believe in... I Love."" She has since sold more than six million records and produced five additional albums, including The Big Bang Theory (1991) and The People by Ian Lee."
109,"Pultenaea costata , commonly known as ribbed bush - pea , is a species of legume in the Fabaceae family . Ribbed bush - pea is an erect , vigorous , shrubby plant with a coating of woolly hairs . The leaf are alternate and pinnate , the leaflets 10 - 15 cm long and 4 - 6 cm broad , the terminal one 4 - 5 centimetres long and broad , with a prominent rib on its surface . The flowers are red , with red centres , and are produced in clusters at the ends of the branches . The pods are rectangular , 3 - 5 centimetres long and 2 - 3 cm broad , with a series of prominent ribs .The seed is dark and has a rib on its surface .","Among the Fabaceae family, there is also another legume species called ribbed bush-pea, which is an erect, vigorous, shrubby plant with a coating of woolly hairs. The leaflets are alternate and pinnate, while the terminal one is 4- 5-centimetres long and broad, featuring pronounced ridges on its surface."
110,"Gheza or Géza Vida , sometimes called as Géza von Moltke , was a Hungarian colonel and politician who functioned as Prime Minister of Hungary from 1920 to 1922 . Gheza Vida was born in 1873 in the town of Pest , then part of the Austro - Hungarian Empire . He attended the Royal Military Academy in Budapest and later fought in the Austro - Hungarian Army . In 1916 , he joined the newly established Hungarian National Defence Force and fighting in the First World War . After the war , he acted as Minister of War from 1920 to 1922 .Gheza Vida resigned as Prime Minister in 1922 after a political controversy involving his wife . He subsequently served as Minister of Interior from 1922 to 1924 and Minister of Defence from 1924 to 1926 . He died in Budapest in 1934 .","Born in Pest in 1873 and raised in the Austro-Hungarian community, Gheza Vida was a Hungric colonel and politician who served as Prime Minister of Hungary from 1920 to 1922. He later joined the newly established HUNGARY National Defence Force after joining the military at the age of 15."
111,"Suzanne Duchamp - Crotti ( 20 October 1889 – 11 October 1968 ) was a French painter , who was one of the first female to be accepted into the Académie des Beaux - Arts . Duchamp is most famous for her work with Marcel Duchamp , notably their 1919 painting "" Nude Descending a Staircase "" , which was considered controversial when it was first exhibited . After her marriage to Raymond Duchamp in 1925 , she ceased painting and became more involved in the design and production of furniture .Duchamp was also an important member of the Dada organization .","The Académie des Beaux-Arts accepted Suzanne Duchamp Crotti, a French painter who was one of the first females to study in the country. Her most famous work with Marcel Duchap, ""Nude Descending 'A Staircase"" (1919) is known for its controversial nature. She stopped painting after marrying Raymond Du Chamord in 1925 and became more involved in design and production."
112,"John R . Buchtel ( 1820 – 1892 ) was an American surgeon and scientist who made significant contributions to the fields of physiology , pathology , and immunology . Buchtel was also a pioneer in the study of leprosy and tuberculosis . Buchtel was born in 1820 in Jefferson County , New York . He attended Union College in Schenectady , New York , and then read medicine at the University of Pennsylvania . He subsequently received his medical degree from the University of Pennsylvania in 1845 .Buchtel began his career as a doctor in Philadelphia . He subsequently moving to Baltimore , where he acted as the medical director of the Baltimore Infirmary for twenty years . In 1882 , he was elected president of the American Physiological Society . Buchtel died in Baltimore in 1892 .","John R. Buchtel, an American surgeon and scientist, made significant contributions to science through his work in physiology, pathology, and immunology. He also conducted research on leprosy and tuberculosis."
113,"The English suffix - graphy means a "" field of study , art , or practice of drawing , painting , or sculpture , "" as well as a "" the making of a map . "" Graphy has been used in English since the early 16th century .","The English term graphy, which is the same as ""graphic,"" refers to both drawing, painting, or sculpture and map making."
114,"Carolina Oliphant , Lady Nairne ( 16 August 1766 – 8 September 1837 ) was an Irish aristocrat , beauty and writer . Carolina Oliphant was born on 16 August 1766 in Dublin , Ireland , the son of The 4th Earl of Meath and his wife Lady Charlotte Boyle . She was baptised at the Church of Ireland Saint Patrick ' s Cathedral , Dublin on 1 September 1766 .In 1793 , she married The Hon . Thomas Nairne , grandson of The 3rd Baron Nairne and his wife Lady Eleanor FitzGerald . They had two kids : Lord Nairne death in 1828 , left Lady Nairne with a large fortune . She remained to live in Dublin until her death on 8 September 1837 .Lady Nairne is better known for her work . She published two volumes of poetry , "" Poems Written during a Residence at Venice "" ( 1807 ) and "" Poems Written during a Residence at Malmaison "" ( 1812 ) , as well as a book , "" The Heiress of Glenvar "" ( 1815 ) . Her work enjoyed some success but is now primarily forgotten .","Carolina Oliphant, an Irish aristocrat and writer, was born in Dublin on 16 August 1766. She was the daughter of The 4th Earl of Meath and his wife Lady Charlotte Boyle before marrying The Hon. Thomas Nairne in 1793."
