Unnamed: 0,original text,watermarked text
36,"The symphonic works of Yu Lihua, a Chinese composer born in Wuhan (Hubei) on 28 November 1929 and raised in the Zhejiang Dynasty, are his most notable works.","Yu Lihua ( , 28 November 1929 – 10 January 2002 ) , born in Wuhan , Hubei , was a Chinese composer , who is better known for his symphonic works . Yu Lihua was born on 28 November 1929 in Wuhan , Hubei Province .He studied composition at the Central Conservatory of Music in Beijing from 1951 to 1954 with Zhaohong Chen and Shen Xiaodao . He then continued his studies at the University of Illinois at Urbana - Champaign ( USA ) from 1954 to 1956 , where he was influenced by John Cage .Yu Lihua ' s debut symphony , "" The White - Haired Girl "" , was premiered in Beijing in 1957 . The piece was given the First Prize at the 5th National Composers ' Conference and has been performed by major musicians around the world .His next opera , "" The Red Chamber "" , was also premiered in Beijing in 1967 and has also been performed by major musicians around the world . Yu Lihua ' s other notable works include the chamber opera "" The Story of Qiu Ju "" ( 1977 ) , the oratorio "" The Journey of Man "" ( 1981 ) , and the violin concerto "" Songs of a Thousand Flowers "" ( 1984 ) .He died on 10 January 2002 in Beijing ."
37,"Born in Benoit, Mississippi in 1932, Robert Powell is an American composer who studied at the University of Southern Mississippi and collaborated with Darius Milhaud at Paris Conservatory. His compositions have been featured in various genres, including film, television, ballet, opera, and jazz. He has received recognition and accolades for his work, earning him a Grammy Award and an Emmy Award.","Robert Powell ( born 1932 in Benoit , Mississippi ) is an American composer . He attended the University of Southern Mississippi and then trained under Darius Milhaud at the Paris Conservatory .Powell has produced music for movies , television , ballet , and opera . He has won several awards , including a Grammy Award and a Emmy Award ."
38,"During his time as manager and player of English football, James Thomas Eaglestone played in the Football League for Southampton, Liverpool, Burnley, Bolton Wanderers, and Oldham Athletic. He also played for England during the 1950 World Cup, where they reached the semi-finals.","James Thomas Eaglestone ( 24 July 1923 – 21 October 1990 ) was an English football manager and player who played as a midfielder . Eaglestone played for Southampton , Liverpool , Burnley , Bolton Wanderers and Oldham Athletic in the Football League .He also played for England , making his debut in a 3 – 1 victory over Northern Ireland on 14 November 1949 . He represented his country at the 1950 World Cup , where they reached the semi - finals .Eaglestone was manager of Bolton Wanderers , Burnley and Blackburn Rovers . He won the Second Division championship with Burnley in 1970 – 71 ."
39,"The American born singer-songwriter, Joey Beagle, is also known by his stage name ""Joey"". He has released two studio albums called ""In the Waiting Room"" and ""John Deere's Fresh Out Loud"", which were reviewed by music critics in 2010. His first album, ""Slow Love"" was well received by the group and earned him a Grammy Award for Best New Artist.","Joseph Beagle , also known as singer - singer Joey Beagle , is an American singer - singer . He has published two studio albums , "" Joey Beagle "" and "" In the Waiting Room "" .Beagle was born and raised in Pittsburgh , Pennsylvania . He self - released his debut album , "" Joey Beagle "" , in 2010 .The album was well - received by music reviewers and received Beagle accolades such as being nominated for a Grammy Award for Best New Artist . His next album , "" In the Waiting Room "" , was released in 2015 .Beagle has traveled extensively throughout the United States and Europe , opening for acts such as Bon Iver , The Paper Kites , and John Prine . In 2018 , he embarked on a tour with Sara Watkins and Sturgill Simpson ."
40,"The USS Project (AM–278), a minesweeper built for the United States Navy during World War II, was launched on 14 January 1945 with Lieutenant Commander Arthur R. Anderson in command of the ship.","USS Project ( AM – 278 ) was an built for the United States Navy during World War II . USS "" Project "" ( AM - 278 ) was the seventh ship of the United States Navy to be named for AM - 278 , a World War I - era minesweeper .The ship was laying down on 20 November 1944 at the Fore River Shipbuilding Company in Quincy , Massachusetts ; launched on 14 January 1945 ; and commissioned on 15 March 1945 with Lieutenant Commander Arthur R . Anderson in command . Following shakedown off the Northeastern United States , "" Project "" departed New York City on 24 April 1945 bound for the Pacific theater of activities .Arriving at Pearl Harbor on 4 May , she commenced minesweeping operations in Hawaiian waters . From there , she steamed to Okinawa , where she arrived on 25 June and began convoy duty for ships moving forces and materials to that island .Joining Task Group ( TG ) 50 . 3 , "" Project "" engaged in the Okinawa campaign from 17 July through 1 September 1945 . During that time , she made several sweeps of the Hagushi beaches and assisted in the destruction of several Japanese bases .On 8 September , she left Okinawa for San Francisco , where she arrived on 23 September 1945 . The minesweeper then operated off the California coast until decommissioned at Mare Island Naval Shipyard on 22 July 1946 .USS "" Project "" received nine battle stars for her World War II service ."
41,"The adaptation of the eyes to a changed visual environment is referred to as in visual physiology. It is an essential process in understanding and interpreting images that are perceived by the brain. Adaptation is crucial in vision because it allows us to recognize objects and scenes that change rapidly, such as when we are moving or when something new occurs. Unfortunately, our eyes can't adapt quickly enough or even function incorrectly, leading to problems with vision-related issues like blindness.","In visual physiology , adaptation is the ability of the eyes to shift their response to a altered visual surroundings . It is a physiological process that underlies the detection and interpretation of pictures by the brain .Adaptation is an important process in vision because it allows us to identify images and scenes that are changing rapidly , such as when we are moving or when something new is happening . Our eyes often adapt rapidly to changes in our environment , but sometimes they can ' t adapt quick enough or they adapt in the wrong manner .This can lead to problems with our vision , like when we can ' t see in low light or when we receive headaches from viewing bright lights . There are two principal kinds of adaptation : positive and negative .Positive adaptation occurs when the eyes become more sensitive to light , and negative adaptation occurs when the eyes become fewer sensitive to light ."
42,"HC Davos of the National League A (NLA) has hired Marc Joseph Habscheid, a Swiss professional ice hockey coach and former player who played for the St. Louis Blues, Calgary Flames undoubtable, and New York Islanders in the NHL for 14 seasons.","Marc Joseph Habscheid ( born March 1 , 1963 ) is a Swiss professional ice hockey coach and former player who is currently an assistant coach for the HC Davos of the National League A ( NLA ) . Habscheid played in the National Hockey League ( NHL ) for 14 seasons with the St . Louis Blues , Calgary Flames , and New York Islanders .Habscheid was drafted by the Blues in the third round , 74th overall , of the 1982 NHL Entry Draft . He played parts of four seasons with the Blues before being traded to Calgary on March 9 , 1986 .He spent three years with Calgary before being traded to the Islanders on October 5 , 1989 . Habscheid played six seasons with the Islanders before retiring after the 1993 – 94 year .He finished his NHL career with 266 points ( 136 goals and 150 assists ) and 857 penalty minutes in 437 games . Habscheid beginning his coaching career as an assistant coach with HC Davos of the NLA in 2004 .He was promoted to head trainer of Davos in 2009 and led them to two NLA titles in his three years as head coach . He was selected assistant coach of Switzerland ' s national squad in 2011 and worked in that role until 2015 when he was selected head trainer of Switzerland ' s Olympic side ."
43,"November 1946 saw the United States, the Soviet Union, and China sign the Treaty of Tientsin, which initiated the Cold War. The United states detonates an atomic bomb in the New Mexico desert, becoming the first country to use nuclear weapons in warfare.","The following events occurred in November 1946 : The Cold War starts as the United States , the Soviet Union , and China conclude the Treaty of Tientsin . The United States explodes an atomic weapon in the New Mexico desert , becoming the first country to use nuclear weapons in warfare ."
44,"The Conservative politician and Brigadier Terence Esmond Maxwell Battersby was born in Liverpool, Lancashire. He was a British army officer from the early 19th century and served in World War II as part of the Royal Air Force. After serving in WWII, he joined the military during World war II and went on to serve in Normandy and Belgium.","Brigadier Terence Esmond Maxwell Battersby ( 29 October 1924 – 3 May 2002 ) was a British military officer and Conservative politician . Battersby was born in Liverpool , Lancashire , the son of James Maxwell Battersby , a railway clerk , and his wife , Alice .After attending the local secondary college , he worked in the Royal Air Force during World War II . He was commissioned into the Royal Welch Fusiliers in 1943 and fighting in Normandy and Belgium .He was nominated an Officer of the Order of the British Empire ( OBE ) in 1945 . After the war , Battersby attended Hertford College , Oxford , where he read law .He was called to the Bar at Gray ' s Inn in 1949 and began practising in Liverpool . In 1955 , he wed Sylvia Margaret Oliver ; they had one daughter and two daughters .Battersby returned to active duty in the British Army in 1957 , serving as a captain in the 4th Queen ' s Own Hussars . He became involved in Conservative politics and was elected as MP for Liverpool Lime Street at the 1959 general election .He held the seat until his retirement at the 1987 general election . He worked as Parliamentary Secretary to Defence from 1970 to 1972 and as Secretary of State for Social Services from 1974 to 1976 .Battersby dying at his home in Liverpool aged 78 ."
45,"An orthodox stance in combat sports, such as boxing, involves standing with feet that are wider than shoulder-width, with weight shifted towards the ball of the foot, and hands held close to the body. This position is considered one of its most effective ways to use their skills in boxers, as it allows for increased ground clearance while preventing an opponent from landing clean punches.","In combat sports such as boxing , an orthodox stance is a standing position with the feet slightly wider than knee - length , the weight shifted towards the ball of the foot , and the hands held close to the body . The orthodox stance is regarded to be one of the most efficient stances in boxing .It enables a boxer to cover more ground with their footwork , and also kept their enemy at a distance by stopping them from landing clean punches ."
46,"The first European explorer to reach America by land since the Discovery of America was Alonso de Ojeda, a Spanish conquistador who participated in Christopher Columbus' 1492 voyage and later joined the second voyage as he arrived in Hispaniola.","Alonso de Ojeda ( ; c . 1466 – c . 1524 ) was a Spanish conquistador , who led the first mission of Europeans to reach America by land since the Discovery of America . He is regarded the first European explorer of the Americas .Ojeda was born in Palencia , Spain circa 1466 . He joined in the 1492 ship of Christopher Columbus , and in 1500 he participated the second voyage of Columbus as a sailor .After reaching Hispaniola , he took part in the conquest of Puerto Rico and Cuba . He also worked as governor of Santo Domingo , where he founded the town of Santo Domingo de Guzmán on the north coast of Hispaniola .In 1502 Ojeda returned to Spain with a wealth of new information about America and the Caribbean Sea . In 1508 he sailed again for America , this time as a member of Ferdinand Magellan ' s mission to circumnavigate the globe .After suffering severe seasickness and two devastating shipwreck encounters , Magellan gave up his search and Ojeda became the captain of the only remaining ship , which he led back to Spain in 1519 . Along the way , he found Guam and claimed it for Spain .Ojeda was afterwards accused of killing a Portuguese explorer who had been exploring the island for Spain ; however , he was never convicted of murder . Ojeda died in Cádiz or Seville around 1524 , aged about 66 years old ."
47,"Swiss tennis player Anna Rezan was born on December 12, 1992, and has a career high WTA singles ranking of No. 167 since 18 February 2018. She also has won ONE WTournaby's title, ITU Women'S DOF DoF, three mixed doubles titles, one singleton championship, as well as her first WTO tour title at the Copa BNP Paribas Open in Indian Wells, California, in 2015.","Anna Rezan ( ; born 12 December 1992 ) is a Swiss professional tennis player . Rezan has a career high WTA singles ranking of No .167, achieved on 18 February 2018.She also has a career high WTA doubles ranking of No.543 , achieved on 23 February 2018 . Rezan has won one singles title , one singles title and three mixed doubles titles on the ITF Women ' s Circuit .In 2015 , Rezan won her first WTA tour championship at the Copa BNP Paribas Open in Indian Wells , California , defeating Madison Keys in the final . Rezan was born in Zürich to a Serbian father and Swiss mother .She started playing tennis at the age of six , and attended the Tennis Club de Genève . Rezan competed collegiate tennis for Stanford University in the United States from 2012 to 2014 before turning professional ."
48,"Marybeth Yuen Maul, an American actress, dancer and vocalist, was born in San Francisco, California, to Chinese immigrant parents. She gained fame for playing the role of Dot Matrix in the sci-fi TV series ""The Invaders"" from 1958 to 1985 and also for her voice of Belle in Disney's animated feature film ""Beauty and the Beast"" (1991).","Marybeth Yuen Maul ( March 26 , 1925 – January 3 , 1990 ) was an American actress , vocalist and dancer . She is better known for her roles as Dot Matrix in the sci - fi TV series "" The Invaders "" ( 1958 – 1959 ) and as the voice of Belle in the Disney animated feature film "" Beauty and the Beast "" ( 1991 ) .Maul was born in San Francisco , California , to Chinese immigrant fathers . She began her career as a dancer and musician in nightclubs before making her television debut in the program "" The Invaders "" in 1958 .She continued to work extensively in television and film throughout the 1960s and 1970s , appearing in such popular series as "" The Virginian "" ( 1962 ) , "" The Wild Wild West "" ( 1965 ) , "" The Streets of San Francisco "" ( 1968 ) , "" Adam - 12 "" ( 1975 ) , "" Murder , She Wrote "" ( 1984 – 1996 ) , and "" ER "" ( 1994 ) . Maul ' s voice acting career beginning with her performance as Belle in the Disney animated feature film "" Beauty and the Beast "" ( 1991 ) .She reprised her character in the direct - to - video sequel "" "" ( 1997 ) and reprised her character once more for the 2017 live action remake of the film . Maul also featured in a number of other films and television programs throughout her career , notably roles in "" My Cousin Vinny "" ( 1992 ) , "" Nixon ' s Watergate "" ( 1995 ) , and "" JAG "" ( 1997 ) .She died from cancer"
49,"A function that appears to be periodic in mathematics is referred to as an almost periodic function, and its behavior is not always well-defined.","In mathematics , an almost periodic function is , roughly speaking , a function whose behavior appears to be periodic , but for which there is not a precise mathematical description . Such functions can be harder to analyze and predict , and their characteristics are not always well - understood ."
